start	end	text
0	20240	All right, so there are only two types of cryptography that exist, Symmetric and Asymmetric.
30000	40000	All right, so there are only two types of cryptography that exist, Symmetric and Asymmetric.
40000	45000	And if you look those up in a dictionary, if you look up the word Symmetric in a dictionary, for example,
45000	51000	it's going to say the same. And obviously what they're talking about is the key.
51000	58000	The same key has to be at both ends for sender and receiver to be able to communicate with each other.
58000	61000	That's what we refer to as Symmetric key cryptography.
61000	65000	Asymmetric, on the other hand, means not the same.
65000	70000	Therefore, we have different keys that encrypt and decrypt at both ends.
70000	73000	But for now, we're going to talk about Symmetric key cryptography.
73000	80000	And one of the things that I think we need to always remember is that the advantage of Symmetric key cryptography,
80000	85000	it's going to be that it's very fast. That's its biggest advantage.
85000	92000	And for what companies do today, and what we need to do across, for example, untrusted networks,
92000	96000	we have a lot of data that may need to be encrypted and decrypted.
96000	101000	Symmetric key cryptography is really the only solution that we can use.
101000	106000	But then again, the problem that we have with this is called key distribution.
106000	112000	How do we securely distribute the key to the other end without having anybody in between
112000	119000	to know what that key is, which is a fundamental problem associated with Symmetric key cryptography?
119000	125000	And so when we look at the Symmetric key cryptography method itself,
125000	130000	there are some key advantages and disadvantages that we need to think about.
130000	133000	Of course, the biggest advantage is speed.
133000	138000	In fact, it can encrypt to the tune of hundreds of millions of bits per second.
138000	141000	That's how fast these algorithms actually are.
141000	146000	And if we're using some algorithms that support large or long key lengths,
146000	150000	then obviously these end up very strong algorithms.
150000	155000	Now, the disadvantages are, and what you see in yellow here is what we need to keep in mind
155000	157000	and always focus on.
157000	163000	The biggest disadvantage of Symmetric key cryptography is the problem of key distribution.
163000	165000	Now, that's part of what we call key management.
165000	168000	We're going to focus on key management issues later on.
168000	176000	But for now, the biggest part of key management issue that is associated with Symmetric key cryptography
176000	179000	is the key distribution problem.
179000	185000	There is a secondary problem that we also need to think about, and that is scalability.
185000	190000	It does not scale well as you start adding more people, for example,
190000	194000	that need to be involved in secure communications.
194000	199000	And the way that you figure this out is that if you have two people, for example,
199000	204000	that need to communicate securely with each other, there's one key that's required,
204000	212000	as long as the sender and receiver have the same key, then those two people can communicate securely with each other.
212000	218000	But the problem is, as you start adding more people, you need to add more keys.
218000	222000	And in fact, the number of keys required starts growing exponentially.
222000	228000	For example, if we have three people in a group that need to communicate securely with each other,
228000	235000	the number of keys required now for each of those people to communicate securely with each other is three.
235000	241000	And if you go to four people, for example, the number of keys that are required actually grows to six.
241000	249000	From this point on, every time you add one more person, it actually doubles the number of keys that are required.
249000	256000	So it's growing exponentially. So if you had ten people that needed to securely communicate with each other,
256000	259000	the number of keys required would be forty-five.
259000	263000	And if you bring that number up to a thousand people, for example,
263000	270000	all of a sudden we need almost five hundred thousand keys that need to be securely managed, for example,
270000	275000	in that system that allows those people to communicate securely with each other.
275000	282000	So this type of cryptography, even though it has some really good advantages, doesn't scale very well.
282000	287000	And that's the secondary problem that it also has as far as a disadvantageous concern.
287000	294000	So for now, just remember the biggest advantage, which is speed, the biggest disadvantage is key distribution.
294000	303000	But a secondary problem is also this problem of scalability where the keys grow exponentially as you add more people to it.
303000	309000	Now there are a number of symmetric algorithms that the industry has come up with.
309000	314000	And certainly they all have the same advantages and disadvantages that we just talked about.
314000	318000	But some end up being more popular than others.
318000	323000	And so for example, DES is still a very popular algorithm that is used out there.
323000	328000	And as you know, the problem with DES is it only supports a 56-bit key,
328000	334000	which really today and today's technology makes it insecure because people do have.
334000	342000	And certainly companies and organizations do have the ability to be able to brute force that entire key space in a few hours.
