start	end	text
0	19640	Here we go with domain number 4 which is obviously all about network security and we have
19640	39520	to start. Here we go with domain number 4 which is obviously all about network security and we
39520	45480	have to start right at the beginning and understand what a network actually is before we can
45480	51320	start talking about how we can protect and network and what it provides from a services perspective
51320	56920	because obviously networking today is very important in any organization and just like any other
56920	62200	valuable asset of the organization it's really there to allow the organization to achieve its
62200	67320	goals and objectives but when you think about the investment that companies make in networking it's
67320	73720	really important to be able to protect not only what it provides but all of the services and assets
73720	80360	and resources and data for example that really allows all kinds of people to be able to access
80360	86440	which is pretty important part of any organization to achieve network security. Now before we can talk
86440	95320	about what the network is and how to protect it let's really describe what networking and you know
95320	102200	how devices for example that are connected to each other actually talk to each other and so let's
102200	108920	start at the basics what is a network a network is at least two devices that are connected to each
108920	115800	other for the purpose of communicating and just like you and I communicate for example how people
115800	121960	communicate with each other certainly require some rules so for example when one person speaks the
121960	129320	other one listens but communication really happens because you know people are able to send and
129320	136280	receive messages so for example right now I'm sending messages to you through the spoken voice
136280	144200	but you have the ability to receive those messages understand them interpret them and act on them
144200	149400	that's how people communicate that's how you and I communicate it's the same requirement that
149400	155240	exists across a network so when you have devices that are connected to each other which essentially
155240	160920	is what a network is at least two devices communicating with each other they have to be able to send
160920	167400	and receive messages and not only do they send and receive messages but you have to have the
167400	174920	ability to interpret what those messages mean and then act on them to be able to ultimately communicate
174920	180600	and that's really what networking is all about so a network is a bunch of devices that are connected
180600	186920	to each other that really understand the same rules for example to be able to allow communications to
186920	194760	happen now the way that you and I communicate is by understanding rules for communications to happen
194760	201640	across a network we don't call them rules they are called protocols so the word protocol really
201640	207480	means the rules by which communications can happen between devices that are connected to each other
207480	213240	for the purpose of communicating and sharing information in fact if you look at the definition
213240	220760	of a protocol it might be something like this a standard set of rules that dictate for example how
220760	227560	devices communicate with each other but also how they send and receive messages but are also able
227560	238920	to interpret those messages and then act on them that's really what a protocol is
