start	end	text
0	20000	We've talked about how there's three factors of authentication, authentication by knowledge,
20000	47000	authentication by ownership, and authentication by characteristic. Let's dig into authentication by characteristics,
47000	54000	otherwise commonly known as biometric systems. There's actually two major types of authentication by characteristic,
54000	59000	which is in fact why we call it authentication by characteristic and not just biometric systems,
59000	66000	because the two primary types of authentication by characteristic is physiological and behavioral.
66000	72000	Physiological is our physiology, what makes you up, your fingerprints, your hand prints, your iris, your retina.
72000	79000	This is your physiology, it's what makes you up. Behavioral, on the other hand, is how you behave,
79000	85000	how you talk, how you walk, how you type. So when you hear authentication by characteristic,
85000	91000	these are the two major characteristics that you're looking at, physiological and behavioral.
91000	96000	Now, before we get into the actual different types of biometric systems, we first have to talk about
96000	103000	a couple of the major considerations related to biometric systems. The first is processing speed.
103000	109000	Some of these biometric systems can be a lot slower than a regular system where you just type in a password
109000	113000	or something like that, and the system almost instantly knows whether that's the correct password.
113000	119000	Some of these biometric systems can take a fair amount of time to scan, which leads directly to the next
119000	125000	consideration, which is user acceptance. How willing are users to accept this biometric system?
125000	130000	Especially some of them, like we're going to talk about in a moment here, iris-based systems, where you have to put your
130000	135000	eye up to this gummy gross cup, you get a super bright light flash in your eye like I'm in front of right now,
135000	141000	and it's a little bit uncomfortable for the user, and so the user acceptance of those types of systems can be fairly low.
141000	148000	And then the final, and frankly, this is the most important consideration, is the protection of the biometric data.
148000	153000	So we only have one set of fingerprints, one hand print, one iris, one vein pattern.
153000	159000	If that data is exposed, if it's out there, there's no way that we can create a new set of fingerprints, a new iris.
159000	164000	And so it's extremely important that we protect biometric data.
164000	169000	The final consideration that we're going to talk about is accuracy of biometric systems.
169000	175000	And before we, there's actually two different error rates, but before we get into those, we have to talk about a very important concept.
175000	178000	And that is that biometric systems are not binary.
178000	180000	What do I mean by that?
180000	186000	Well, with the other authentication characteristics like authentication by knowledge or ownership,
186000	193000	the system can be 100% sure that that is your password, or 100% sure that that isn't your password.
193000	196000	The same is not true with biometric systems.
196000	201000	And we've all experienced this with our iPhones where we'll go to unlock the phone with our thumb or our finger,
201000	206000	and it won't work because our finger is a little bit dirty or wet or greasy or something.
206000	212000	And so we have these error rates in biometric systems, they're not 100% accurate, they're not 100% in binary.
212000	215000	So let's talk about these two different error rates.
215000	220000	The first is known as a type one false reject error.
220000	226000	And what that means is that a valid user is falsely rejected from getting into the system.
226000	232000	So this is where a valid user tries to authenticate themselves, and the system says, not allowed, you're rejected.
232000	234000	So that's a type one error.
234000	238000	A type two error is essentially the exact opposite, the inverse.
238000	243000	A type two error is known as a false acceptance error.
243000	248000	It's where an invalid user is falsely accepted into the system.
248000	254000	In other words, some baddy, some person that shouldn't be getting into the system was allowed into the system.
254000	256000	That's a type two error.
256000	259000	So which is worse, type one or type two?
259000	264000	Absolutely, type two, it means type one is just a user being irritated, stupid thing doesn't work.
264000	269000	Type two is you're letting an attacker into your system very bad.
269000	274000	Now what's interesting about these two error rates is they're inverse to each other.
274000	281000	As you try and reduce, for instance, the number of type one errors, you're going to start to increase the number of type two errors, or the same thing in the other direction.
281000	286000	As you try and reduce the number of type two errors, the number of type one errors are going to go up.
286000	289000	And if you were to graph this, it would look something like this.
289000	294000	As your type one errors go down, your type two errors are going to go up.
294000	298000	Now there's a particular spot on this graph that's of interest to us.
298000	300000	And it's where these lines intersect.
300000	303000	And we call this a rather absolute name thing.
