start	end	text
0	20000	All right, so let's refocus a bit on what we've been talking about in this video.
30000	41000	All right, so let's refocus a bit on what we've been talking about in this entire domain.
41000	45000	As you know, this domain is called security architecture and engineering.
45000	59000	And so we're talking about how we protect architectures, but the engineering part of that is how we protect each of the components that make up an architecture by protecting and designing security into each.
59000	64000	Of the components as we build, for example, the architectures.
64000	71000	Now, one of the best ways to provide security today is to include and use cryptography.
71000	79000	And so over the last 50 years or so, cryptography has been something that has been really helpful to us in security.
79000	91000	And so as security professionals, we need to understand not only, for example, that it is cryptography that provides the services that we are achieving, but how it actually works.
91000	99000	We need to have an appreciation for how cryptography actually works so that we understand the level of security that it provides.
99000	111000	And so let's start right with the basics. In fact, if you take the word cryptography itself and you break it up into its two parts, you've got crypto and graphy.
111000	120000	Now, both of those have Greek roots. In fact, both of those words come from Greek and the words are cryptos and graphy.
120000	130000	And if you look at the word cryptos in Greek, it actually translates into the word secret and the word graphy translates into the word writing.
130000	141000	So cryptography is all about writing secrets. Any method that takes, for example, a message or data and it turns it into a secret is a form of cryptography.
141000	148000	Now, the question is, why do you want to turn something into a secret? And the obvious answer to that is to keep it confidential.
148000	164000	And you'll see that confidentiality is the main goal of cryptography, but it can really achieve some other really important services that have become essential in how we protect not only information, but other assets by using cryptography itself.
164000	171000	But for now, let's remember that cryptography means secret writing or turning something into a secret.
171000	183000	And in fact, the history of cryptography is something that we know is thousands of years old. It's been around for at least 4,000 years, at least that's what historians tell us.
183000	193000	And the first recorded example of cryptography is actually the Egyptians by using their hieroglyphs.
193000	202000	And if you've seen these or studied them, you know what they look like, but those symbols that the Egyptians used had a particular meaning.
202000	211000	But what they did is they specifically kept the meaning of certain symbols from certain user populations to keep an edge over them.
211000	220000	Because, as you know, throughout history, knowledge is power. And so if you can keep certain knowledge from certain people, you typically have an edge over them.
220000	229000	And that's why, you know, cryptography is obviously thousands of years old, but it's also been used by, for example, royalty throughout history.
229000	246000	And so we've got kings and queens and the upper classes throughout history that have used cryptography to try and keep an edge over the common people, as we said before, because if you can keep knowledge from certain power or from certain people, you'll have power over them.
246000	252000	And so we've also seen some other examples of where cryptography has been used extensively.
252000	262000	And one of those examples is actually the enigma machine. So the Germans use the enigma machine during the Second World War to try and keep information secret from the Allied forces.
262000	278000	But when you look at how that enigma machine actually provides security, even by today's standards, it's something that is excellent and protects information really well, even given the technology that we have today to be able to break, for example, something like that.
278000	289000	And so they had a really good system to keep information secret, and they actually made it even more secure because they changed the key, for example, every day.
289000	300000	So the key that the enigma machine actually used was something that only lasted one whole day, and then they would change the key at midnight, the very next day, and so on.
300000	325000	And so they made it even stronger as the way that they used it. But if you know anything about the history of the enigma machine, the Allied forces were actually able to decrypt messages almost in real time, because they were able to figure out some of the patterns, and some of the things that the Germans did that was not very well, not in using the method itself, which is the enigma machine.
325000	340000	But in the key management that it used, and the reason we're talking about this is because in every implementation of cryptography, what becomes the most important thing is what we call key management.
340000	354000	Everything else is going to be known, like the methods, for example. In fact, when you look at what the enigma machine was, the Allied forces had plans of what the enigma machine looked like even before the war started.
354000	365000	And so it's not usually the method or the algorithm, for example, that provides the weakness in how cryptography is sometimes broken.
365000	375000	The breaking of cryptography systems and the security of cryptography systems is dictated by one thing alone, and that is the key management implementation.
375000	389000	And if you look at the history of the Second World War, you'll see that the ability of the Allied forces to be able to actually break the enigma codes and read the messages that the Germans were encrypting is what changed the balance of power.
389000	396000	But what made that system fail was not the enigma machine itself, it's very strong even by today's standards.
396000	409000	What made it fail was the key management implementation, and throughout history, every failure of cryptography has really been because of a key management implementation issue.
409000	417000	That's what breaks cryptography is how you handle the keys, which we've referred to as key management, of course.
417000	425000	And so that's just one example of how obviously, you know, cryptography has failed throughout history.
425000	443000	Now, if you look at any cryptography book, or what cryptographers like to talk about as being the history of cryptography, they will divide that history in what they call eras, or ages, for example, and typically they are these five that you see on this slide here.
443000	453000	We've said that cryptography is at least 4,000 years old, but most of that would fit into what we call the manual era of cryptography.
453000	468000	And examples of that would be simple rearrangements of letters, for example, and how kings and queens and others try to keep information secret from the common people by simply rearranging letters.
468000	473000	A perfect example of this one would be what you might be aware of, and that is the Caesar cipher.
473000	484000	Julius Caesar used a very simple substitution algorithm back in his days, and all he did was shifted the alphabet by three characters.
484000	492000	And that was really effective back in his day, although by today's standards, something like that obviously would not be very effective.
492000	502000	But because people didn't know how to read, and his enemies didn't know how to interpret the Roman language back in those days, that system was very effective.
502000	513000	Now, the next era of cryptography is what we call mechanical, and people figured out pretty quickly that doing cryptography by hand is a very slow process.
513000	521000	And so we have attempts to try and speed up how we can encrypt and decrypt information quicker by using machines.
521000	526000	Something that would fit in this category is something called the Skytail.
526000	532000	And the Skytail is something that the Greeks used in the Greek Wars, the Trojans, and so on.
532000	549000	And the way that worked is if you can imagine a rod of a specific size and length, what they did is they wrapped a leather around this rod from one end to the other, and then what they did is they wrote their message on one side of it.
549000	555000	So that when you take the leather off this Skytail, you'd have characters that appeared all over the place.
555000	563000	The only way you'd be able to read the message would be to have an exact same duplicate size and length rod at the other end.
563000	570000	And that's what they used in order to provide secrecy of certain messages and so on.
570000	575000	The next era of cryptography is what they call electro-mechanical.
575000	586000	And at the advent of electricity, we saw that we could speed up a lot of things, and the Enigma machine is something that would fit in this category as well.
586000	590000	Most cryptography today is what we call electronic.
590000	601000	And what that simply means is that it's driven by software applications, systems, for example, that most people refer to as crypto systems.
601000	611000	And as long as you and I, for example, implement the same set of applications at both ends, the same crypto system at both ends, you and I can communicate using cryptography.
611000	621000	And typically these crypto systems will have support for what we call algorithms and the use of keys that we're going to describe later on.
621000	633000	But examples of software-based encryption which is used today in all kinds of applications and protocols and technologies and architectures would be some of the things that you see here.
633000	645000	Like PGP is a perfect example of a crypto system, but also the algorithms, for example, that are built into some of those crypto systems like AES and triple des and so on.
645000	651000	These are examples of software-based encryption algorithms that are supported through crypto systems.
651000	666000	The next evolution of cryptography is something that they've already done some advancements in and it's related to what we call quantum cryptography, which uses quantum computing techniques that rely on quantum physics.
666000	676000	We're not going to get into that obviously hard for us to understand, but basically all they've been able to do in that regard are things related to key management.
676000	683000	So these are the five eras that represent the history of cryptography which we said is thousands of years old.
