start	end	text
0	20080	Alright, now we do have to define a couple more words that are related to cryptography because...
30000	59000	All right, now we do have to define a couple more words that are related to cryptography because these are used extensively today in certain cryptography applications, but the first is the word stagnography and something related to it is what we call the null cypher, but if you look at the word stagnography itself, it simply means hiding something within something else.
59000	86000	And so there's different ways that you can hide something within something else. Like for example, we have what's called physical stagnography and that could be as simple as hiding your password on a sticky note underneath your keyboard. For example, any physical method of hiding a message is an example of stagnography and how it relates to cryptography is if you remember the definition of cryptography, it means turning something into a secret.
86000	97000	So for using hiding something within something else in order to keep something as a secret, it's a form of cryptography, but specifically it's known as stagnography.
97000	106000	All right, so as I've mentioned, there's different methods to achieve stagnography. One of them is physical stagnography, but we also have what's called modern stagnography.
106000	125000	Modern stagnography will simply use modern techniques, technology, for example, hiding a message within another picture file or slack space on hard drives, for example, any method that uses technology to hide something within it can be referred to as modern stagnography.
125000	137000	Now something that has been seen on the example is what we call a null cipher, and this is a pretty popular way to hide something within something else.
137000	151000	And a null cipher hides a message in plain text, but within other plain text. In other words, we have a message that is all in plain text, but there is hidden text within that.
151000	159000	And so we have an example of this, and there are some famous examples of stagnography that we've seen, for example, in the past.
159000	176000	But if you look at, for example, this entire message that we've got up on the slide here, if you look at the first letter of each of the words, it'll spell the secret message that we've hidden within other text that is all in plain text.
176000	185000	So remember, the definition of a null cipher is hiding a message within another message, but everything is in plain text.
185000	193000	So if you look at the first letter of each of these, it spells out security through obscurity. That's the message that we've hidden.
193000	201000	You know, there's all kinds of examples of null ciphers that we've seen in the past, but this is a pretty good one, as you can see.
