start	end	text
0	20000	Let's talk about one of my favorite subjects. Fire!
30000	40000	Let's talk about one of my favorite subjects. Fire!
40000	45000	Now, it's good to think about fire from a physical security perspective as a risk.
45000	50000	And with any risk, the deal, the way that we want to deal with that risk is by putting in place
50000	54000	and mitigating controls, specifically a complete control.
54000	59000	And a complete control, of course, is a combination of preventive, detective, and corrective.
59000	66000	So, how do we prevent a fire? Well, the best way to prevent fire is to not have any combustible materials,
66000	72000	anything that will burn. And so, for example, in a data center, if you're bringing in new servers,
72000	75000	you want to make sure that you unpack the servers on the loading dock.
75000	80000	We've all a very combustible cardboard on the loading dock. And what are you bringing to the server room?
80000	85000	Just the bare metal servers. So this is a perfect example of how we try and prevent fire.
85000	90000	Don't have any combustible materials. Now, preventive, detective, and corrective.
90000	96000	If we do have a fire, the very first thing we want to be able to do is quickly as possible is detect the fire.
96000	98000	And that's what we're going to talk about in this module.
98000	104000	And then the final thing, if we have detective fire, is quickly as possible we want to try and correct a fire.
104000	109000	And in the next module, we'll talk about different types of fire, correction, or fire suppression systems.
109000	116000	So let's talk about methods we can use to detect a fire. There's three major methods that we can use.
116000	124000	We can use what are known as flame detectors. These are basically video cameras that look for infrared or UV light.
124000	128000	And so they can see the flames that are looking up from a fire.
128000	133000	But we want to try and detect a fire as early as possible. And if you're at the point where you've got big,
133000	140000	licking flames like behind me here, that's not a very good way to detect a fire as early as possible.
140000	144000	The next method that we can use are what are known as heat detectors.
144000	148000	And heat detectors are just like they sound like they're basically temperature sensors.
148000	154000	And they look for a rapid rise in temperature. And so you'd have these heat sensors spread around your facility.
154000	160000	And if one or two of them detect a rapid rise in temperature, that's a pretty good indication that you have a fire.
160000	165000	But again, if you're at the point where the temperature is spiking, the fire is pretty far along.
165000	170000	So heat detectors are not necessarily the best way to detect a fire as early as possible.
170000	178000	And that leads us to the last and probably most important method to detect a fire as early as possible. And that's smoke detectors.
178000	181000	And there's a number of different types of smoke detectors we're going to talk about here.
181000	185000	Let's start with what are known as ionization sensors.
185000	193000	Ionization sensors, the way they work, it's actually quite cool. They have a small amount of radioactive material inside the smoke detector.
193000	198000	And it actually ionizes particles. And these particles flow between two metal plates.
198000	206000	And what happens if smoke particles enter this little chamber, the smoke particles will actually disrupt the flow of ionized particles.
206000	211000	And therefore allow you to detect fire. So that's ionization sensors.
211000	215000	The next most common are what are known as photoelectric.
215000	222000	And again, this is kind of neat how this works. So in a photoelectric sensor, you have a light source and a sensor.
222000	226000	And the light source is pointed a little off angle. So it's not pointed right at the sensor.
226000	235000	And what happens is if smoke particles pass through the sensing chamber, the smoke particles will actually cause the light to reflect into the sensing area.
235000	245000	And so if the sensor suddenly picks up that light's being reflected into the sensor, that's an indication that smoke particles are passing through the sensor and you have a fire.
245000	251000	Now, most of the sensors that we use nowadays in homes and most common business ones are what are known as dual sensors.
251000	257000	And just as name implies, they're a combination of both ionization and photoelectric.
257000	261000	And there's one final type of smoke detection system that you should know about.
261000	270000	And this is the most sensitive type of system. And it's very aptly named. It's called the Vesda system, which stands for very early smoke detection apparatus.
270000	276000	So just as the name implies, these systems are really good at detecting a fire as early as possible.
276000	282000	But these systems are not commonly seen because they're very, very sensitive and they're very expensive.
282000	287000	So where you tend to see Vesda systems are in places like data centers and museums.
287000	292000	But if you ever get a question asking you, what is the best way to detect a fire as early as possible?
292000	298000	It's smoke detectors, look first for smoke detectors and the best type of smoke detector, Vesda.
