start	end	text
0	20000	Our next module that we're going to discuss in network security, again, we're talking about how we protect the network. One of the most important things that
20000	49000	network security has to focus on is to allow what most companies want and that is remote access. And, of course, one of the best ways to allow remote access to
49000	79000	a remote access today, probably the only best way to allow remote access is through what you know as being VPNs. And so, in this section, we are going to discuss what a VPN is and how we add security to that. And you'll also see that there are, you know, many different protocols, for example, that have been designed to provide VPN capabilities and we'll talk about the difference between them. So, first of all, just a definition of remote access, which obviously allows people that are
79000	106000	moving around, traveling around to be able to connect back into the internal network, but using some sort of secure method to be able to do that. So, whether you're in a hotel or at Starbucks or at home or in Bora Bora in some nice hotel, and you want to connect back in to your company's network, the way that we do that is through what we call secure remote access. And that really means a VPN.
106000	135000	So, VPNs are really a two-step process and the precursor to a VPN is what we actually call tunneling. So, we have to understand the concept of tunneling before we can get into what a VPN is. And if you think about the word tunneling itself, a lot of people would refer to as encapsulation. And that is a really good way to think of what tunneling is. You take something and you encapsulate it within something else.
135000	159000	And we've got a really nice graphic here that shows you this concept. So, if you look at what a data gram typically looks like or a packet, you've got really two components, the header, which has the routing information, things like source IP address, destination IP address, and so on. And then you've got the data portion or what is also referred to as the payload.
159000	175000	Now, if we have another one, for example, here is exactly what tunneling or encapsulation actually is. We take that original packet and we place it into the data portion of the second one.
175000	191000	So, we take the entire data gram or packet that was the original one and including its header and data portion and we put it into the data portion of really what we call the transport data gram.
191000	213000	So, essentially, that's what tunneling is. It's taking that entire data gram and putting it into the data portion of what we call the transport data gram. Now, the question is, why do you want to do this? Well, the fundamental reason, and here is why we call it tunneling, it doesn't matter what that original data gram has in its header.
213000	235000	We are going to force it to go down a specific path that is actually specified by what you see here as the tunneling header. So, it doesn't matter what the original one had in its information or header portion of the data gram, we're going to force it to be sent down the path that is specified by the new header, which in this case is called the tunneling header.
235000	250000	That's why we call it tunneling and we're going to force it to go down a certain path. Now, if I go back to this, a lot of people mistakenly think that by tunneling, for example, we are providing security, but that's not the case.
250000	277000	Tunneling on its own does not provide security, just because we've taken the header and data portion of a data gram and placed it into the data portion of another, doesn't really provide any security at all. In fact, you can see that information in the new data portion of the new data gram basically. So, there is no security implied here. If you want security, what you have to do is you have to add encryption.
277000	302000	In other words, we have to encrypt the data that we've put in to the data portion of the transport data gram and that's why a VPN is what we call tunneling plus encryption. That's what equals a VPN. Unless you encrypt, you cannot have a VPN. In other words, tunneling plus encryption equals a VPN.
302000	322000	If you only tunnel, then you can only call it a tunnel. You can only, you cannot call it a VPN. Now, here is a graphical depiction of what this means. Like if you think about what remote access requires us to do, right? You have a mobile device that has a VPN client on it.
322000	347000	What happens there when you activate your VPN client wherever you are, is it starts a handshake between you, the mobile device, and obviously the VPN server at the other end at the corporate network so that any traffic that's going back and forth is going to be tunneled plus encrypted, which means that we have a secure channel for communications that we typically call a VPN.
347000	363000	Now, what you see here are the different solutions that the industry has come up with for doing exactly that tunneling plus encryption. Now, what you see here is a pretty good list of the tunneling protocols that all, for example, support encryption.
364000	390000	Now, the idea is you can use different methods at different layers of the OSI model. And as you know, as we start going up the OSI model layers, we gain in functionality, we gain in intelligence. And so, but you pay for it in efficiency. And that's why we've got really VPN solutions or tunneling capabilities that can run at five of the seven layers of the OSI model.
390000	413000	So the bottom three, for example, L2TP, L2F and PPTP are all layer two tunneling protocols. The advantage of them would be that they are very efficient, but they might be limited in the functionality that they provide because they operate at layer two and therefore they only have intelligence of layer two, for example.
413000	434000	Now, we start moving up, for example, with layer three tunneling protocol called IPsec, which obviously gains us a little more functionality, but we pay for it in a little bit of efficiency. But, you know, the experts in the industry, you know, tell us that IPsec is a really good VPN solution, for example.
434000	452000	In fact, some of them will say that it's the preferred way of doing VPNs because typically for most organizations doing things at the network layer is where you have the right functionality and efficiency for most things that most companies are trying to do.
452000	467000	Now, we can go even higher. As you can see here, we have a layer four tunneling protocol really that again supports encryption that can be used for VPN solution and that is SSL slash TLS layer four.
467000	489000	We can even do it at layer five. Socks is a layer five tunneling protocol that also supports encryption and we even have something that can give us tunneling and encryption capabilities at layer seven, which we call SSH, but obviously that would give us a lot of functionality, but we would pay for it in efficiency.
489000	507000	So what's required for you is to understand that these are all tunneling protocols that typically can provide encryption and therefore can be used as VPN solutions, but remembering the layers that they operate at is also something that may be required from your perspective.
