start	end	text
0	20080	We love them as people, they bring in all sorts of
20080	47080	natural light, they're wonderful to have around, but from a physical security perspective they have some important implications.
47080	55080	What we particularly need to focus on is what is the material that the window is made from, and there's a number of different things that windows can be made from.
55080	58080	Let's start with the cheapest option, plate glass.
58080	62080	Plate glass windows are simple plate glass windows, they're cheap glass.
62080	70080	The defining characteristic of plate glass is that when it breaks, it breaks into big scary shards, not very safe for people, you can get impaled.
70080	74080	So plate glass is the cheapest option, but definitely not the safest.
74080	78080	If you want a safer type of window material, that is tempered glass.
78080	86080	What happens when tempered glass breaks, it breaks into nice little small pebbles, and so you might get little nicks or cuts, but you're not going to get impaled.
86080	89080	So tempered glass, much safer for people.
89080	91080	Wired glass.
91080	102080	Wired glass is glass that has metal wires embedded in it, and I don't know if I just went to like a super sketchy elementary school, but all the windows in the doors in my elementary school had wired glass in them.
102080	114080	The advantage of wired glass is that if the glass breaks, it gets held together by the metal wires, and you still have a barrier there from someone reaching in and undoing the door and on, for instance, because they're still the metal wires that are there.
115080	123080	Laminated glass, as the name implies, the laminated glass is a lamination layers of different materials said which together.
123080	128080	Most commonly you'll have a layer of glass, a layer of plastic, and then another layer of glass.
128080	132080	A really good example of this is windshields and cars.
132080	140080	Oftentimes when you get a rock chip on a car, and if it's in a nicer car, if you go to the outside of the windshield, you'll feel this big rock chip on the window.
140080	145080	But if you go inside the vehicle and you feel in that same spot, there's nothing there.
145080	148080	And that's because a lot of car windshields are actually laminated glass.
148080	153080	There's a layer of glass, a layer of plastic, and then another layer of glass on the inside.
153080	156080	It makes for a much stronger window.
156080	159080	The next type of material is polycarbonate.
159080	164080	And as the name implies, polycarbons, it's actually made out of plastics.
164080	167080	Now you may have heard of this concept of bullet proof glass.
167080	169080	There is actually no such thing as bullet proof glass.
169080	171080	There is bullet resistant glass.
171080	176080	And typically most bullet resistant glass is made out of polycarbons.
176080	183080	And so if you ever get a question asking what's the strongest type of glass, the answer is most definitely polycarbonate.
183080	190080	Now the final thing we should talk about here of the different types of glass is actually not a type of glass but a coating that we can put on the glass.
190080	192080	And they're called solar films.
192080	195080	And solar films, you'll notice this in downtown buildings all the time.
195080	198080	All the buildings that are covered in glass, they're different colors.
198080	200080	Gold, silver, greens.
200080	203080	That's actually different types of solar films that have been applied to the windows.
203080	209080	And the primary reason that we do that is that heat from the sun is a major heating factor in buildings.
209080	213080	And it causes, it would drive up the prices considerably of cooling the building.
213080	218080	And so these solar films actually block UV light, the light that brings in a lot of the heat.
219080	226080	And so from a physical security perspective, we really like solar films because they help reduce the heating load on the building.
226080	230080	And the other thing you can use solar films for is to make what are known as one-way mirrors.
230080	236080	Having spent a lot of time on the wrong side of these, if you've been in an interrogation room, it'll look like a piece of glass from one side.
236080	239080	But on the other side, there's a bunch of police looking at you.
239080	241080	So those are solar films.
241080	247080	The final piece that we'll talk about related to windows is, how do you detect if a window has been broken?
247080	250080	And there's two major types of sensors that you can use to do this.
250080	256080	There's what are known as shock sensors and glass brake sensors.
256080	258080	Glass brake sensors actually listen.
258080	260080	They're essentially a microphone.
260080	263080	And they listen for the specific sound that braking glass makes.
263080	267080	So with a glass brake sensor, you can put like one sensor in a room.
267080	270080	And it'll monitor all the windows in a room.
270080	275080	Shock sensors, on the other hand, are a little sensor that attaches to each individual window.
275080	281080	And a shock sensor actually detects the shock, the vibration of a window being broken.
281080	284080	So here's one final really good question to think about.
284080	291080	Which of these sensors, shock sensors, or glass brake sensors, would be better in a noisy occupied room?
291080	294080	And the answer is shock sensors.
294080	295080	Why?
295080	299080	Well, because shock sensors pick up the vibration of the actual individual window being broken.
299080	303080	Versus glass brake sensors listen for the sound of a window braking.
303080	307080	And in a noisy occupied room, they probably wouldn't be able to detect that sound.
307080	310080	So that's what you need to know about windows.
