start	end	text
0	20000	Let's include our discussion of fire, so we've talked about how fire is a risk.
30000	45000	Let's include our discussion of fire, so we've talked about how fire is a risk, and for every risk we want to have a complete control, preventive detective and corrective.
45000	49000	Let's now talk about the corrective controls that we have for fires, fire suppression systems.
49000	58000	Now we're going to start with water-based fire suppression systems, and as the name rather implies, these systems use water to put out a fire.
58000	65000	Now, water is really good at putting out fires, but it's not so good for electrical equipment and damaging things.
65000	74000	And so water-based systems are the cheapest, simplest type of systems, but you're not going to use them in places like data centers or other areas where the water would cause a lot of damage.
74000	77000	Let's go through the different types of water-based systems.
77000	81000	The first we'll start with is a wet pipe system.
81000	92000	A wet pipe system means that the pipes are wet, so in a fire suppression system you've got all sorts of pipes running up through the ceiling, and then those pipes will terminate in sprinkler heads.
92000	98000	And in a wet pipe system there is pressurized water running through all those pipes at all times.
98000	102000	Wet pipe systems are cheapest, but they have some big downsides.
102000	112000	Because there's pressurized water in the pipes at all times, inevitably you're going to get leaks, so water will start dripping out or even gushing out of these pipes eventually.
112000	122000	And if you go into older buildings you'll see this all the time, you'll see big orange stains up on the ceiling, these are water stains, often from the wet pipe fire suppression system.
123000	134000	They also have a very big downside in that you cannot use them in places where the temperatures are going to drop below zero degrees Celsius or whatever that is in freedom height.
134000	137000	You can't use them in places where water will freeze.
137000	141000	Freezing water causes the pipes to burst, big problem.
141000	147000	So the next type of system is known as a dry pipe system. It still uses water, and it still looks almost exactly the same.
147000	151000	You've got pipes running all the way through the ceiling, you've got sprinkler heads.
151000	156000	The key difference is there is not pressurized water in the pipes at all times.
156000	161000	Instead the pipes are dry, they're typically filled with pressurized air nitrogen or something.
161000	165000	And what will happen is you combine these with a pre-action system.
165000	175000	Pre-action means that some sort of pre-action has to occur, a smoke alarm has to go off, someone has to pull a detector, and then what will happen is water will come flooding into those dry pipes.
175000	179000	And only then will the pipes have water in them, so the pipes are dry.
179000	182000	And so pre-action, let's continue kind of that discussion around that.
182000	186000	What's common in most buildings is you'll have what's a stand, it's called a stand pipe.
186000	194000	It's a big pipe that runs through the center of the building, floor by floor by floor, and then all the sprinkler pipes will sort of spread out on each floor.
194000	198000	And in a pre-action system, you have valves at each floor.
198000	207000	And those valves that will release the water from the stand pipe out onto the floor will only open when there's some sort of pre-action has occurred, some sort of alarm has gone off.
207000	212000	The final type of water-based system is known as a deluge system.
212000	217000	When you hear the word deluge, what does that sound like to you? Like a flood of water.
217000	220000	That's basically what a deluge system is.
220000	227000	And all the other water-based systems, sprinkler heads will only open when there's heat underneath them.
227000	231000	And you've probably maybe even noticed this, a lot of sprinkler heads will have a little glass file in them.
231000	236000	And that glass file is often filled with something red, it's usually wax.
236000	245000	And the way this works is that when the wax heats up enough, it will expand, cause the glass file to break, causing the sprinkler head to open, deviled to open on the sprinkler head.
245000	252000	And so in wet, dry, pre-action systems, sprinkler heads only open where there's enough heat to open them.
252000	257000	But in a deluge system, every single sprinkler head is open at all times.
257000	265000	And it's only when the alarm goes off, water comes flooding into the pipes, that water will come out of every single sprinkler head simultaneously.
265000	272000	So, where would you want to use a deluge system? Certainly not in an office building, especially something like a hotel.
272000	279000	But think fireworks factory, or TNT factory, where if you have a fire, you want that fire out right now, and we're all going to die.
279000	284000	So that's where you might use a deluge system. So those are the water-based systems.
284000	292000	Now, let's talk about the gas-based systems. And gas-based systems use some sort of gas to put out the fire.
292000	296000	There's actually two major methods that these gas-based systems will use.
296000	302000	One is that some of these gases are heavier than oxygen. And that's what this picture on the screen is showing you here.
302000	311000	This is actually laughing gas that's being poured onto a table. And because laughing gas is heavier than oxygen, it forces the oxygen up and out of the way.
311000	320000	And as we talked about, fire needs three legs to burn. It needs heat, oxygen, and fuel. Take away the oxygen. No fire.
320000	323000	So that's one way the gas-based systems will work.
323000	330000	Another is that some of the gas-based systems actually interrupt the chemical process that is fire.
330000	335000	So let's talk through the gas-based systems now. The four primary ones that you need to know about are,
335000	347000	Energen, Argonite, FM200, and ArrowK. These are all gas-based systems. They're all very good where you have electrical equipment, expensive equipment.
347000	352000	Because all these systems obviously don't use water. They use some sort of gas to put out the fire.
352000	358000	So there's one type of fire suppression system that I want to eat a listen very carefully here. You've probably heard the word halon.
358000	371000	Halon was a gas that was used for many, many years to put out fires with. But halon has been banned. It's a major CO. It's a major greenhouse gas, floral, carbon, and light or whatever.
371000	380000	So do not listen very carefully here. Do not pick halon on the exam as an answer because it is not going to be one of the gases that you should ever use nowadays.
380000	387000	It's being outlawed. Instead, look for Energen, Argonite, FM200, or ArrowK.
387000	394000	And if you get questions asking you what's the best type of gas to use where there might be people around, ArrowK would probably be a pretty good choice.
394000	401000	ArrowK actually uses little canisters that output a very high-pressure potassium, and that's what puts out the fire.
401000	406000	And a big advantage of ArrowK and the use of potassium is that it doesn't take away the oxygen.
406000	415000	Because besides a fire, what else needs oxygen? Humans. So you have to be very careful with some of the gas-based systems because they can actually kill people.
415000	419000	So ArrowK might be a good choice where you've got people around.
419000	425000	Now the final type of fire suppression word to talk about here is good old fire extinguishers.
425000	432000	And there are actually a bunch of different types of fire extinguishers, and they'll usually even state on them what type of fire extinguishers they are.
432000	438000	This one, for instance, is a class A, B, and C fire extinguisher.
438000	443000	So the table that we're showing you now shows you all the different classes of fire extinguishers.
443000	447000	There's five that you need to know about. So let's briefly go through them.
447000	452000	Class A, six extinguishers, are for common combustibles. So wood, things like that.
452000	458000	And the suppression agents are things like water, foam, dry chemicals.
458000	464000	Class B, fire extinguishers, are for liquids, like gasoline, flammable liquids.
464000	469000	And what you use there is gas, or CO2, foam, or dry chemicals.
469000	474000	Class C is for electrical fires, so you're obviously not going to use water on an electrical fire.
474000	477000	So gas, CO2, dry chemicals, or reuse there.
