start	end	text
0	16240	You've all heard of something called the OSI model.
16240	20000	We've been talking about how a network is just a bunch of devices that are
20000	44000	connected to each other for the purpose of communicating.
44000	49000	Now, communications is required in such a way so that
49000	54000	devices that are connected to each other can send and receive messages,
54000	60000	but be able to interpret what those messages actually mean and then act on them.
60000	64000	And so we need, those are called protocols as we said before,
64000	69000	but we need the rules by which devices that are connected to each other,
69000	75000	how they're able to send and receive messages, interpret those and act on them.
75000	82000	And what provides this ability across networks is something called the OSI model.
82000	87000	Now, the first thing that we need to focus on here is that it's actually a model.
87000	90000	And just like any other model, it needs to be implemented.
90000	96000	And later we're going to talk about how the implementation of this OSI model is
96000	101000	actually called TCPIP and its family of protocols.
101000	106000	But for now, let's focus on the model itself and how it provides a way for devices
106000	110000	that are connected to each other to actually be able to communicate.
110000	114000	Think of these as the rules by which communications can happen.
114000	120000	And of course, the OSI model is just a model, as we just said.
120000	124000	But if you look at the words itself, open systems interconnect.
124000	127000	It tells you what this model actually does.
127000	133000	It allows systems that connect to each other to be able to communicate with each other
133000	140000	because they are open systems that understand and abide by the rules of the OSI model itself.
140000	144000	So this is a pretty good definition of what the OSI model is.
144000	148000	But keep in mind that it is a model that needs to be implemented.
148000	151000	It's just the rules that need to be implemented.
151000	154000	Now, if you look at the OSI model itself,
154000	157000	it is a layered architecture.
157000	164000	In other words, it's made up of seven layers and think of the seven layers as a team.
164000	168000	A team that's made up of team players.
168000	172000	They all have to work together. They all have to contribute.
172000	178000	They all have responsibilities to take care of that overall allows communications to happen.
178000	181000	So let's equate it to a sports team.
181000	187000	The role of a sports team or the goal of a sports team is to win the game, win the championship.
187000	192000	But when you look at the players that make up that team, they all have to contribute.
192000	199000	They all have to take care of their responsibilities or else the goal is not going to be achieved.
199000	202000	It's the same thing here with the OSI model.
202000	208000	I think of the seven layers as team members that need to contribute and take care of the responsibilities.
208000	215000	So that ultimately we can achieve the goal, which in this case is for communications to happen.
215000	218000	So none of the layers can work on their own.
218000	225000	They all have to work together to really achieve that very important goal of communications to actually happen.
225000	233000	Now, what's important for you to remember is not only the layer names, but also the numbers that they correspond to.
234000	240000	And I'm sure you've heard of different ways that people have come up to remember the OSI model layers.
240000	242000	And you've probably heard this one.
242000	246000	All people seem to need data processing.
246000	258000	But remember if you're using that one, you're starting at layer number seven because the exam may require you to understand things like layer three is responsible for.
258000	261000	And you need to remember that layer three is a network layer.
261000	268000	If you want to remember it the other way starting at the bottom because the first layer really is the physical layer.
268000	271000	Layer seven is the application layer.
271000	273000	You can remember this one or remember it this way.
273000	277000	Please do not throw sausage pizza away.
277000	285000	And that gives you possibly a better way to remember the layer names and numbers that they correspond to.
285000	290000	But just like anything else in this course, we have to relate everything to security.
290000	295000	And it's pretty important to relate security to the OSI model.
295000	302000	And what you need to remember is that security can be applied at each of the layers of the OSI model.
302000	308000	But whether that is feasible or even possible is a different story.
308000	316000	And so if the exam asks you a question like in what layers of the OSI model should security be applied at,
316000	319000	you know, the obvious answer to that would be all the layers.
319000	322000	But again, whether that's feasible or possible is a different story.
322000	329000	So let's say the exam asks you this question, given your choice of one layer where you would have really good security,
329000	332000	which layer would it be and why?
332000	341000	Now to be able to answer that question requires us to understand something and how security really applies to the OSI model.
341000	351000	And once you understand this, you'll know why there are security specific protocols that have been built to operate at certain layers of the OSI model.
351000	359000	Perfect example is SSL and TLS, which is a layer four or transport layer security protocol.
359000	366000	We have firewalls that operate at three of the seven layers of the OSI model.
