start	end	text
0	10000	Music
10000	20000	Music
20000	28000	Music
28000	36000	Music
36000	38000	Single sign on
38000	40000	So what's the concept of single sign on?
40000	47000	It's this idea that a user can enter one set of credentials and magically get access to a whole bunch of different systems.
47000	49000	Here's what it basically looks like.
49000	51000	We've got our user system here.
51000	55000	They enter their one set of credentials into the authentication server.
55000	59000	And then they magically get access to a whole bunch of other systems out there.
59000	61000	That's the theory.
61000	63000	That's the idea of single sign on.
63000	65000	So what are the pros and cons of this?
65000	67000	Well, I mean, users love it.
67000	69000	They don't have to remember all these different passwords.
69000	75000	And so potentially they might remember instead of having to remember 10 crappy passwords,
75000	81000	they'll maybe remember one better password, although in my experience that doesn't usually happen.
81000	84000	It also allows for centralized administration.
84000	89000	If you want to create, modify, someone's account, remove someone's account on a whole bunch of systems.
89000	92000	If you're using a single sign on system, it's much easier to do so.
92000	94000	What are the downsides, the cons?
94000	100000	Well, it's absolutely a single point of failure from both an availability and a compromise perspective.
100000	105000	Now let's look at the basics of how any of these single sign on systems work.
105000	110000	The basic idea here is that our user wants to get access to the application.
110000	116000	In order to get access to the application, they'll have to authenticate which the authentication server.
116000	120000	So our user here is going to send a login request to the application.
120000	125000	If our user is currently authenticated if they have a valid ticket or token,
125000	127000	then they'll probably be let right in.
127000	130000	But let's assume that our user doesn't currently have a valid ticket or token.
130000	131000	What's going to happen?
131000	134000	Well, they'll be redirected back.
134000	137000	And then they'll be redirected back to the authentication server.
138000	140000	And what will they do with the authentication server?
140000	145000	Authenticate through knowledge, ownership, characteristic or some combination thereof.
145000	151000	Once they've authenticated with the authentication server, they'll be provided with a ticket or token
151000	154000	and redirected back to the application.
154000	159000	The application will then read the assertion statements, the contents of that ticket or token,
159000	166000	and make an authorization decision as to whether or not that user is able to actually access the application.
166000	171000	So that at a basic level is how any of these single sign-on type systems work.
171000	176000	So now let's look at one particular technology that enables single sign-on, Kerberos.
176000	182000	Kerberos is a pretty old technology, pretty old protocol, and frankly not very good,
182000	187000	but it is commonly pervasively used with an organization to enable single sign-on.
187000	191000	And the reason it's used so pervasively, even though it's not great, it's built into Microsoft products.
191000	194000	It's been used for years, it's just become a standard.
194000	196000	And so why is it called Kerberos?
196000	198000	There's a fun little bit of history behind this.
198000	204000	So in Greek mythology, there's the three-headed dog, Cerberos, guarding the gates to Hades.
204000	212000	And so the creators of Kerberos were creating a protocol that would have sort of three major capabilities,
212000	215000	accounting, authentication, and auditing.
215000	220000	And so they thought of it as a three-headed dog, and so they decided to call it Kerberos.
221000	223000	So let's look at how Kerberos works.
223000	227000	And if you've ever read about Kerberos in a book to figure out all the various pieces of it,
227000	232000	and how ticket-granting tickets, and ticket-granting servers, and KDCs, and anything else fits together,
232000	233000	it's a bit of a nightmare.
233000	241000	So let me try and make it as simple as possible, and highlight just the most key aspects that you need to know about Kerberos.
241000	248000	So first of all, with Kerberos, we have our client here, and we have the service that our client eventually wants to access here.
248000	255000	And in order to access that service, the first thing that our user or client here is going to do, in this case, Alice,
255000	260000	she's going to go to what's called the authentication service, the AS.
260000	267000	And what the AS is going to return back to her is an encrypted ticket-granting ticket, a TGT.
267000	273000	Now, this TGT, this ticket-granting ticket, is encrypted with her password, with Alice's password.
273000	278000	So what Alice decrypts the ticket-granting ticket with is her password.
278000	286000	So now she has a copy of the ticket-granting ticket, and she now makes a request to the ticket-granting service, the TGS.
286000	295000	And what she says to the TGS is, here's my ticket-granting ticket, here's my user information, and here's the service that I want access to.
295000	304000	And then the TGT-granting service will make a decision, and if it decides that she's going to have access, it will return Alice a service ticket.
304000	313000	And it's finally this service ticket that Alice can use to go and access the service that she wants to access.
313000	323000	A few important things here. This ticket or token contains some assertion statements, some information, like Alice's username, and some other assertion statements like that.
323000	330000	But very importantly, does it contain Alice's password or her other authentication credentials? No.
330000	336000	Because you do not want all your different services, your different systems out there, to know Alice's password.
336000	341000	The only system we want to know Alice's password is the authentication service.
341000	355000	Now there's one more bit of terminology you should know here, and that is that these two pieces, the authentication service and the ticket-granting service, are typically sort of bundled together and called the Key Distribution Center, the KDC.
355000	359000	So those are the major pieces of Kerberos that you need to know.
359000	368000	Now let's talk about two major issues with Kerberos. The first is that it only supports symmetric cryptography.
368000	378000	Now of course, we've talked about the major problem with symmetric cryptography is both Key Distribution and the number of keys that you need grows exponentially.
378000	389000	The more systems there are, the environment. So it can be quite difficult to manage the keys in a Kerberos environment because of the fact that only supports symmetric cryptography.
389000	396000	The other issue is that it only supports one ticket-granting ticket. Here's why that's an issue.
