start	end	text
0	19720	One of the most important things that we need to address in any cryptography implementation
19720	39800	is one of the most important things that we need to address in any cryptography implementation
39800	41560	is avoiding patterns.
41560	47480	I think we've mentioned a few times how patterns is what kills cryptography and every single
47480	54040	example of where cryptography has failed has usually been because of some key management
54040	59480	implementation issue of where patterns are evident and certainly throughout history
59480	61520	we've seen that many times.
61520	67360	So it's important for organizations in how they implement cryptography solutions to avoid
67360	73040	patterns and patterns are really bad and that's what we're going to try and show here
73040	77800	in this section and we'll talk about certain ways to avoid patterns.
77800	79520	Now here's an example.
79520	81880	You probably know the answer to this.
81880	87720	If we're using English as an example, there are certain language statistics that people
87720	90080	know of the English language.
90080	95040	For example, what's the most commonly used letter in the English alphabet and the answer
95040	100640	to that is the letter E. Well, how could that help some crypt analyst figure it out?
100640	104720	For example, what a key is in a cryptography implementation.
104720	111000	Well, if they've got some cypher text in front of them, they could count all of the letters
111000	117120	and the one that appears the most often might be the letter E because that's the most commonly
117120	120160	used letter in the English alphabet.
120160	121440	Let's keep going here.
121440	127680	The most commonly used three letter word in the English alphabet is the word the.
127680	133800	So if you see some cypher text in front of you, for example, and you see a three letter
133800	139640	word that has been encrypted, you might assume is the letter the and you would approach decrypting
139640	142600	that message in that fashion.
142600	148840	What's the most commonly used four letter word in the English alphabet, the word that?
148840	155720	And this is a really important one because the word that always starts and ends with the
155720	156720	same letter.
156720	163040	So if you see some cypher text where it's a four letter word that has been encrypted,
163040	168280	that starts and ends with the same letter, you can assume and be pretty sure that it
168280	169920	is the word that.
169920	172480	So that provides patterns.
172480	179920	This type of activity in trying to find what certain keys are is called frequency analysis.
179920	185960	And that simply means that people know language statistics about the language that, for example,
185960	189120	something has been encrypted in.
189120	195200	And just to reiterate this problem that we have in how patterns should always be avoided
195200	202320	in anything related to cryptography, simple substitution and transposition ciphers do not
202320	203840	hide patterns.
203840	207400	And you'll remember we showed you this example before.
207400	213280	For example, when we encrypt the word gobbins, the word gobbins has two b's in it.
213280	217240	That provides patterns that may be useful to attackers.
217240	224400	And if you use simple substitution and transposition ciphers, the resulting cypher text also provides
224400	230000	patterns that may provide opportunities for attackers to eventually figure out what
230000	231520	the key is.
231520	238360	So in order to defeat frequency analysis, which is all about understanding what certain
238360	246280	statistics and patterns that exist in certain languages are, we have to create our own languages
246280	252280	and alphabets that nobody knows any language statistics about.
252280	254800	Here's a perfect example.
254800	262000	In this case, we are creating four different alphabets that each start with a different letter.
262000	268200	And the idea is if we want to encrypt the word gobbins, when we do it using this with
268200	273040	a key that is down at the bottom, four, three, one, two.
273040	278560	The idea is the first letter we're going to encrypt is the letter G, but because the first
278560	283480	key value is the number four, we use the fourth alphabet.
283480	290160	So if we intersect the G with the fourth alphabet, we come up with the cypher text letter
290160	291160	C.
291160	296640	Now if we do the next one, the next key value is the number three.
296680	299160	That means we use the third alphabet.
299160	304680	The letter we need to encrypt is the letter U. So if we intersect the letter U with the
304680	310440	third alphabet, it comes up with the cypher text letter R.
310440	317480	Now here's where patterns that appeared in the plaintext actually disappear because
317480	322400	we've created alphabets that nobody knows any language statistics about.
322440	330760	So the first B in the plaintext becomes the letter A as cypher text.
330760	335400	Now the next B will not produce the same A, for example.
335400	343720	So we hide the patterns that existed in the plaintext by creating what are called polyalphabetic
343720	344800	cypheres.
344800	350600	In this case, the second B creates a Z as the cypher text letter.
350600	353440	So patterns are actually hidden.
353440	359400	So what you want to remember about polyalphabetic cypheres, the word poly means many.
359400	365480	So you're creating many alphabets that overall are going to defeat any sort of frequency
365480	370440	analysis capabilities that monoalphabetic cypheres do not.
370440	376000	And a perfect example of this, if we keep going here, you're going to see that we're
376000	382720	going to create some very good cypher text that ultimately hides any patterns that may
382720	385280	have existed in the plaintext itself.
385280	390640	Now, a really good example of something that's been used throughout history to be able to
390640	395240	hide patterns is something called the running key cypher.
395240	402240	And we have examples of this being used during that period after the Second World War when
402240	406440	a lot of the countries didn't trust each other because of what happened at the end of
406440	408040	the Second World War.
408040	413520	So what happened in these cases, a lot of countries placed spies in other countries.
413520	418200	But the way that these spies would communicate back with their home country would have been
418200	421040	using what's called the running key cypher.
421040	425840	And the reason it's called running key cypher is because it requires the same book to
425840	428040	exist at both ends.
428040	433080	So let's say I'm the spy that's been placed in the Soviet Union.
433080	438240	And I'm trying to communicate back with the country here in the US, for example.
438240	444800	And so what I do is I take the message that I want to encrypt and I combine it with text
444800	448600	that appears in a specific part of a book.
448600	455280	So you and I would know that we are starting at page number 32, paragraph one, sentence
455280	456280	number one.
456280	462480	Whatever text that is becomes the key that I combine the secret message that I want
462480	464440	to communicate with you.
464440	471120	And so the way that we combine is using the numeric equivalents of each of the letters
471120	474080	using what you see up on your screen there.
474080	480840	So if we are encrypting the word gobbins as well and that text that appears on that page
480840	485160	starts with the quick brown fox and so on.
485160	490120	What I do is I take the first letter of the secret message and I combine it with the first
490120	495840	letter of the text that appears on that page, which in this case is the T. And if you combine
495840	499280	the two, it comes up with that, right?
499280	504320	Obviously the number G is the seventh letter in the alphabet.
504320	508000	The T is the 20th letter in the alphabet.
508000	513920	So if we add the two, 20 plus seven is 27, that's more letters than we have in the English
513920	514920	alphabet.
514920	518520	So we have to subtract 26, which equals one.
518520	524720	So your first cipher text letter is the first letter in the alphabet, which is the A.
524720	529680	And so if you keep going, the idea is you're going to come up with text.
529680	534120	When you receive that secret message at your end, you're going to have to know where
534120	536000	we started in the book.
536000	540800	You're going to take the encrypted message and you're going to subtract the letters that
540800	545160	appear on page 32, paragraph one, seconds number one.
545160	550560	And that'll allow you to retrieve the encrypted message and be able to read it.
550560	557040	The idea is the next time you and I communicate, we use the same book, but we use a different
557040	558600	portion of the book.
558600	564880	The idea is we've got endless possibilities of keys that we can use in order to encrypt
564880	565880	messages.
565880	572160	There's the really important point and that is we never reuse the same key.
572160	576920	And so every single message will have a different key associated with it.
576920	580840	And that's why these sometimes were referred to as code books.
580840	586560	The idea is before I get to the Soviet Union, I would have a code book just like the one
586560	588560	you see on the screen here.
588560	595200	And we would use a specific page and then once one page was used, it would be destroyed.
595200	599720	And then the next time you and I communicated, we would use a different part of that code
599720	604320	book, which ensures security of each message.
604320	611600	Now the problem with using a different key for every single message is what we call key
611600	613000	distribution.
613000	617440	But this, the running key cipher that we just described where we use the same book at
617440	623000	both ends, but a different part of the book for every single message is ensuring that
623000	626400	we have a different key for every single message.
626400	632600	And this in cryptography actually has a specific term associated with it.
632600	635920	It is known as a one time pad.
635920	642640	So a one time pad means that for every single message that you encrypt, the key is changed
642640	644600	and it's never reused.
644600	652000	And in fact, the key is always the exact same length as the message that you're encrypting.
652000	656320	Because of that, the key is never reused and it's always the same length.
656320	663240	It becomes the only unbreakable algorithm that exists where the key is only used one
663240	664560	and never reused.
