start	end	text
0	19480	We've talked about the three factors of authentication, authentication by knowledge, authentication
19480	37800	by ownership. We've talked about the three factors of authentication, authentication
37800	43960	by knowledge, authentication by ownership, and authentication by characteristic. Let's dig
43960	47760	into the first two, authentication by knowledge, and authentication by ownership.
48000	52720	We're going to start with authentication by knowledge. Authentication by knowledge means
52720	57840	something that you know. So what are some examples of that? Well, things like passwords,
57840	64480	past phrases, security questions, things like that. What's a past phrase, specifically? Well,
64480	70560	a past phrase is meant to be a sentence or a lyric from a song, something that's multiple words
70560	75360	long that you can easily remember. And so the idea behind it is to make a password that's very
75360	80640	long but still easy to remember. So that's a past phrase. And what are security questions? Well,
80640	85520	that's things like, what's your favorite color pumpkin or why do whales smell funny? Things
85520	88800	like that. The questions that you would remember the answers to. Maybe those are good ones.
90160	96160	Now let's talk about authentication by ownership, which is something that you have. One of the most
96160	102720	common types of authentication by ownership is often referred to as OTP or one-time passwords.
102720	108960	These are devices that generate one-time passwords that are only used once. And there's two types
108960	116640	of one-time password generators. There's soft tokens and hard tokens. Software, soft tokens
116640	123120	implies that what's generating the one-time passwords is software. Whereas hard tokens means that
123120	128880	the device that's generating the tokens is a piece of hardware, like an RSA ID key. Let me show
128880	134960	you an example of a soft token. So on my iPhone here, to log into all my super secure accounts and
134960	140480	so forth, I use the Google authenticator. And as you can see, please not log into my accounts. Here are
140480	145200	the one-time passwords that are generated for a bunch of the services that I access. And as you'll
145200	150000	see in a moment here, these passwords will expire and then new ones will be generated. That's why they're
150000	157920	called one-time passwords. The other example of authentication by ownership is things called smart
157920	164080	cards or memory cards. And we'll get into those in a moment. First, let's spend a little more
164080	169680	time on one-time passwords. Because there's actually two ways that we can generate these one-time
169680	177680	passwords, asynchronous and synchronous. So what's the difference? Here's how asynchronous one-time
177680	182560	passwords work. The user will start by saying to the server, I would like to authenticate.
182640	189120	The server will respond back with a challenge. And it's basically just a code. The user will then
189120	193680	have a device. And they have to challenge that or they have to type that challenge into their
193680	200160	device, type that code into their device. When they type that code in, their device will generate
200160	205920	a response through some sort of software mechanism. It'll generate a response and show it on the
205920	211520	screen. The user then has to type that response back into their system. And that response is then
211520	218400	sent back to the server. So asynchronous implies that there's a challenge and then a response back.
219120	223200	And so it's pretty rare to see these. One perfect example of this is they're the Bloomberg
223200	227360	terminal access cards. It's really cool how these work actually. I've seen a couple of them.
227360	230720	So what the way this works is you've got this card. And on the back of the card, there's actually
230720	235200	a little camera. And when the user wants to authenticate to their very expensive Bloomberg terminal,
235200	240960	they actually hold the card up to their screen. And the screen will flash black and white really
240960	247760	quickly. And it's actually sending a code a challenge through the screen to the card. The cards
247760	253440	camera picks that up and then generates the appropriate response. And it shows it on the screen.
253440	257520	The user then has to type in that response along with their other authentication information
257520	262400	in order to get access. So that's an example of a asynchronous system. Pretty rare to see those.
263600	269120	Now what about synchronous systems? The reason we call these synchronous is because the device
269120	274720	and the server are in sync. They're generating the same one-time password every 30 seconds or
274720	280480	60 seconds, whatever it happens to be. So how do synchronous devices work? Well, it would be just
280480	285120	like what I showed you on my phone here or an RSA ID key. You've got a device either a soft token
285120	292800	or a hard token that's generating a one-time password all the time. And whenever you want to log in,
292800	297200	you simply read the one-time password off your device, type into the computer system,
297200	303520	and send that to the server. The server is in sync with the device. It's generating the same
303520	307680	one-time password at the same time. And so if the one-time password that you type in is the same
307680	311360	one that it's generated for this period of time, then it will authenticate you.
313520	318320	Now let's talk about smart cards and memory cards. And actually, a perfect way to talk about this
318320	322640	is by looking at a credit, a modern day credit card. Because it's both a smart card and a memory
322640	325920	card. And by the way, this is my real credit card. So I've blacked it out. Please don't
326080	332560	steal my card. Now, how does a modern day credit card demonstrate both smart card and memory card?
332560	338400	Let's start with a simple aspect, memory card. And memory card implies that it's just some memory,
338400	342080	just some data that's stored. And if you look on the back of the credit card, and I'm intentionally
342080	346000	covering up my CVV number here, if you look on the back of my credit card, there's a magnetic strip
346000	351520	here. That magnetic strip just contains some data, some memory. So when you swipe this card through
351520	357760	a reader, it would read that memory and then generate and that data that's read off of the memory
357760	362880	area is what would allow your credit card transaction to go through. And this is what made older style
362880	367360	credit cards so incredibly easy to copy because all you have to do is exactly copy this data,
367360	370880	and as long as you use that data off of there, you could make a credit card payment.
371680	376640	Modern credit cards don't use just memory. They are actually smart cards. So if you look at this
376640	381120	little piece right here on my credit card, this is actually a little computer chip underneath here.
381840	386400	And this is where we have to talk about, there's two types of smart cards that are under known as
386400	392480	contact and contact lists. So contact implies that when you put this card into a reader,
392480	397840	this chip area here has to actually make contact with the reader. And it's through these metal
397840	403440	contacts here that the chip is actually powered. And the way this works in smart cards is that
403440	408320	when you plug the card in to a reader, there's a bit of communication that goes back and forth between
408480	413840	the card and the reader to process the credit card transaction. And what's important about this is
413840	419040	that the numbers that come off of this card are unique every time. So you can't just copy the data
419040	424240	off of here and make a copy of the credit card. It's more intelligent than that. So that's contact.
424240	429760	It's the same underlying concept of a smart card in that with contact lists, there's a little radio
429760	434320	receivaring here. And when you get this near to a reader, the reader is constantly sending out
434320	440400	strong pulses. And that pulse will be read by the card. And importantly, that pulse is powerful
440400	445760	enough to actually power the card in here or to power the little chip in here for a moment so
445760	451040	that it can perform some calculations and then send a signal back to the reader. So all of this is
451040	457200	actually powered by pulses being sent out by the reader, powers the chip, comes up with a number,
457200	463600	responds back to the reader, and that's how contact lists works. Both examples, contact and contact
463600	478560	lists of smart cards, which is a method of authentication by ownership.
