start	end	text
0	19800	All right, here we are at layer number two, which is the data link layer, appropriate
19800	39880	name. All right, here we are at layer number two, which is the data link layer, appropriate
39880	47040	name for this layer, data link really means that it links the data between the two adjacent
47040	54320	layers that are next to it. So if you know what the layer below the data link layer is,
54320	59880	that's the physical layer. And then above the data link layer we have the network layer.
59880	66160	The data link layer allows those two adjacent layers to actually talk to each other. Because
66160	71880	when you look at what the network layer works with, it works with data grams and packets,
71880	77800	that's not what the physical layer works with. The physical layer as we've already learned can
77800	84000	only work with bits, zeros and ones. So the layer in between, which is this layer, guess what it
84000	92960	does? It takes information from the network layer as data grams and formats those as bits so that
92960	98480	the physical layer can work with them as bits. At the other end, guess what the data link layer
98480	105280	does? It takes the bits of information from the physical layer and formats them in such a way so
105280	111920	that the network layer can work with them as packets and data grams. So it really allows the two
111920	118720	adjacent layers to it to be able to talk to each other. Think of it as the translator or the
118720	125840	go between that allows the two adjacent layers to talk to each other. Now at this, at this layer is
125840	134080	also where we reference what are called your physical unique address across a network. In other
134080	140720	words, a network is made up of different devices that are connected to each other, but the network
140720	149280	needs to understand each of those devices uniquely. So there needs to be some sort of unique physical
149280	155280	address that the network can reference for each of the devices that are connected to each other.
155600	161920	This is called the MAC address. The MAC address is really a function of your network card that
161920	168720	allows you to connect to the network and every device connected to a network has to have a unique
168720	176080	physical MAC address that is referenced here at layer two. And it looks something like you see
176080	183520	there on your screen, but what the industry needs to make sure is that each of these MAC addresses
183520	190320	are unique as they come from the manufacturers. So there is a system by which this is insured.
190320	196080	For example, the first number of bits for your MAC address relates to the vendor.
197280	202480	And so that would be unique to a vendor. And then the next set of bits is something else that
202480	208560	ensures uniqueness and so on so that we can have network cards and devices that come from different
208560	215040	manufacturers. They all need to have unique physical addresses because if you didn't,
215040	222000	that would confuse the network every device or node connected to a network has to have a unique
222000	228960	physical address that is referenced here as a MAC address. Although when we get to the network
228960	236240	layer, you'll see that the logical addressing in networking is actually done at the network layer,
236240	242480	not at the data link layer, which was what we're talking about here. The data link layer simply
242480	249440	provides the physical unique address through the MAC address itself. Now here's where we also talk
