start	end	text
0	17340	Alright, in this module we're going to talk about how we can also connect devices together
17340	35320	by using wireless technologies, but alright, in this module we're going to talk about how
35320	40720	we can also connect devices together by using wireless technologies, but one of the things
40720	46480	that we have to think about in anything wireless is that we can't really control how we
46480	52960	connect devices together because by definition wireless signals will span outwards in all directions
52960	59840	and so that makes it particularly challenging to protect anything that is wireless and
59840	65240	you know up until a number of years ago this was something that companies resisted simply
65240	71600	because it was so hard to protect wireless communications, but nowadays we can protect
71600	76640	wireless really well by using some of the technologies and protocols that are available
76640	82040	that we're going to talk about here, but first of all you know the fundamental problem
82040	88440	of wireless and how it reaches out in all directions is something that companies need to think
88440	93960	about certainly from a architecture perspective, so if you look at the slide that's in front
93960	99640	of you right here, it really depicts what a typical architecture may look like, very
99640	105360	simplified of course, but what a typical architecture may look like in any organization
105360	110840	where you know organizations have their own internal network that is connected to the
110840	115680	internet so that we can take advantage of the opportunities that the web and the internet
115680	121880	offers us to be able to keep our clients and customers happy, but we may also have what
121960	130480	are called a DMZ which is a sub network where we're going to put services that may be required
130480	136720	from the outside internet, that means people that are trying to order our products and
136720	142360	interface with us in a nice easy way requires us to have applications that we're going to
142360	149000	put in the DMZ as opposed to letting them come in to the internal network and so that's
149000	154800	where we're going to put things related to any service that is required from the outside
154800	160920	internet, but if you think about wireless this is also where we want to put our Wi-Fi capabilities
160920	167080	because then anybody connecting to those Wi-Fi access points, if they want to be able
167080	172920	to get into the internal network we'll still have to go through the firewall which is there
173000	179880	to provide security so that we only allow what should be allowed in the internal network so
179880	186600	that ultimately we are protecting the value of those assets and services that are ultimately
186600	193160	inside of our network, so if you look at the architecture that is depicted here that is a
193160	198440	good one from a security perspective because anybody connecting to that would have to go through
198440	203560	the firewall to be able to access anything of value in the internal network, now you could
203560	210520	have a guest Wi-Fi so this is a typical architecture that a lot of organizations have, this is where
210520	217080	you would place your Wi-Fi capabilities that you offer guests which could be on the outside
217080	223640	and not in any way connected to the internal network which again is the most important thing
223640	230040	to protect, the value of the internal network and its services is what we want to ultimately protect,
230040	236280	so your guest Wi-Fi capabilities are going to be outside of the firewall, now you could also have
236280	243800	what most companies do and that is a corporate Wi-Fi that only authorized individuals are allowed
243800	249960	to connect to, and this is where you would have really good security to force, not only authentication
249960	256600	but probably two factor authentication for anyone that may be a employee of the organization
256600	263560	to connect to that type of network, now one of the other things that we have to think about
264520	271000	from a wireless perspective is what we call radio frequency management and what this means is that
271000	279000	the placement of certain wireless access points need to be done securely and what you depict here,
279000	285640	what you see here is not very secure because we've placed a wireless access point in the corner
285640	294520	of a building where the signals will span outwards towards locations and areas that you cannot control,
294520	300200	for example your parking lot or other buildings that may be next to you, so a better architecture
300200	306200	would be the place that wireless access point in the middle of the building so that you can limit
306200	314280	the signals and what they can reach to areas that you don't trust, now understanding something called
314280	321640	the radio frequency spectrum allows us to understand why it's important for us to protect certain
321640	328520	types of traffic that operate at frequencies within this wireless radio spectrum, so the ones that
328520	338920	you see in yellow there, 802.11, B and G, Bluetooth and some wireless phones, but also the 802.11,
338920	347640	AN and AC represent what are called the frequencies that are established as being unlicensed,
347640	354520	so the yellow frequencies that you see there, 2.4 gigahertz and 5 gigahertz and I think there's
354520	362040	actually another one that we don't see there that has been recently established as being also
362040	370760	unlicensed in the 60 range are what we call unlicensed radio frequencies and what that means
370760	377640	is that anyone because it's unlicensed that means any vendor for example can create a technology
377640	383160	that operates within those frequencies, but from a security perspective that's a problem isn't it
383160	388360	because if you have a whole bunch of things that people can create technologies that can operate
388360	395240	within those radio frequencies that may contend with what we're trying to do as an organization
395240	400760	or they those devices that others create that operate within those radio frequencies
401560	407480	may also be able to pick up the signals that are operating within those frequencies and so the
407480	414280	problem is when you look at this entire radio frequency band there is really no security built in
414280	422360	I mean the radio frequency band does not have any security built in therefore we need to add security
422360	431560	if we want security of wireless and here are examples I mean Wi-Fi is the most obvious example
431560	437240	of where we use radio frequencies that are wireless that do not have any security built in
437640	444440	but it also includes other technologies like Bluetooth and cellular and RFID but the
444440	450280	bottom line is that each of these technologies all have the same problems and that is there is
450280	457640	no security built in to anything that you're using to connect wirelessly or to communicate wirelessly
457640	464760	so what you want to remember from this slide especially specifically is that if you want security
464760	471720	to exist of anything that is wireless there are really four things that you need to address
471720	477880	there are four security services that need to be addressed in anything that is wireless
477880	484520	and it is what you see on the left hand side of this table right if you want security of wireless
484520	490520	you need to address access control you need to address authentication you need to address encryption
