start	end	text
0	8880	to its two parts. You've got cryptos and graphy, and both of those have Greek roots. In fact,
8880	16400	if you look at the word.
16400	30080	We are now going to focus on the importance that cryptography provides in helping achieve.
30080	50880	We are now going to focus on the importance that cryptography provides in helping achieve security
50880	57040	services, and you're going to see that cryptography today is fundamental. In achieving not just one,
57040	63040	but five really important security services that have become really important in the security
63040	69520	industry. But before we get into that, if you look at the word cryptography itself and you break it
69520	78960	up into its two parts, you've got cryptos and graphy, and both of those have Greek roots. In fact,
78960	87200	if you look at the word cryptos, it translates into the word secret and graphy translates into the
87200	96000	word writing. So cryptography is all about writing secrets, and the obvious reason why we want to
96000	103520	turn something into a secret is to keep it confidential. So confidentiality is the main goal of
103520	108720	cryptography, but as you will see, there are some other ones that have become really important
108720	115920	that cryptography can help us achieve in today's environments. In fact, these are the five services
115920	123120	that cryptography can achieve, and very effectively. The first, of course, is confidentiality. There's
123120	129440	nothing better than cryptography to achieve confidentiality services. In fact, we've known that for
129440	135840	thousands of years, and that's why cryptography has been used throughout history, mostly to achieve
135840	141680	confidentiality, but in today's environments, there's nothing better than confidentiality to really
141680	149440	achieve that goal in a really large way. Now, cryptography can also help us with integrity,
149440	156080	and what we mean by integrity typically is this. If I send you a message, when you receive that message,
156080	162080	you want to know that nothing happened along the way, because things could happen along the way.
162080	169360	For example, someone can change it purposely, or errors can happen in transmission, but regardless
169360	176080	of what caused the change, we want to be able to identify that that information has changed
176080	181840	along the way. So that's what integrity really means from a cryptography perspective, and to make
181840	187360	this really easy for us, and for you, from an exam perspective. What you want to do is you want to
187360	195360	equate integrity to hashing. That's how we achieve integrity or message integrity controls in
195360	202560	cryptography through hashing. So hashing equals integrity. Integrity equals hashing. If you connect those
202560	209200	two, it's going to be really useful to you. Now, we have to understand what hashing is. Hashing by
209200	218320	definition is what we call one-way encryption. As opposed to two-way encryption. Two-way encryption
218320	224480	means we can take something and turn it into a secret, but then we can take that secret, which is
224480	230960	usually referred to as ciphertext, and turn it back into the original plaintext. That's two-way
230960	238240	encryption. We can encrypt and decrypt. Two-way encryption requires keys, because keys is what makes
238480	245280	it easy to encrypt, but also what makes it easy to decrypt at the other end. That's what we call two-way
245280	253040	encryption. Hashing, which addresses integrity, by definition is only one-way. We take our data that
253040	259680	we're going to send, for example, and then we one-way encrypt it, and it produces something
259680	266160	typically called a digest that can be useful in addressing whether something happens along the
266160	271040	way. And of course, we're going to look at these methods as we go through this presentation and show
271040	277200	you exactly how each of these are achieved by using cryptography services. But for now, just
277200	285760	equate integrity to hashing. Hashing means we go one-way does not require keys. Now, the third
285760	291760	service that cryptography can provide for us is what we call authenticity. And some people
291840	298800	refer to this as proof of origin. So don't confuse it with authentication of people. That's not what
298800	306720	this service is in regards to authenticity or proof of origin. Means that we can authenticate and
306720	313200	know where something came from. So if I send you a message, you'll be able to prove that it actually
313200	320800	came from me by using cryptography services. And that in today's environments may be very important.
320800	326560	And here's a perfect example. If we want to patch our Microsoft operating systems,
326560	332720	we want that patch to actually come from Microsoft. So we may ask Microsoft to do something related
332720	338640	to cryptography so that when that patch comes to us, we can do something related to cryptography
338640	345360	that it proves to us that that patch actually came from Microsoft and not some other organization
345360	352480	pretending to be Microsoft. That's what we refer to as authenticity or proof of origin.
352480	360000	The next service that cryptography can provide for us is non-repudiation. The key word here is the
360000	368720	word repudiation. If you look that up in a dictionary, it means to be able to deny. So non-repudiation
368720	375520	means the inability to deny. You cannot deny having done something. So if I send you a message,
376320	383040	I cannot say later that it wasn't me that sent that particular message. That's what we call
383040	389520	non-repudiation. And very effectively, we can achieve this in cryptography. And what you want to
389520	396480	do here, just like we equated integrity to hashing. Hashing equals integrity, integrity equals
396480	402640	hashing. We can do the same thing here to make it easy for you. We can equate non-repudiation
402640	409440	to digital signatures. So non-repudiation equals digital signatures, digital signatures equals
409440	416560	non-repudiation because that's how we achieve this service called non-repudiation. Now what you
416560	422800	also need to remember here is that there are two flavors of non-repudiation. And these are the
422800	428800	correct terms that we need to use because they are the correct terminology used in the industry.
428800	437760	There is non-repudiation of origin, origin, which means the sender, me as the sender, cannot say that
437760	444560	it wasn't me that sent a particular message. You'll be able to prove it. That's non-repudiation
444560	451920	of origin. The sender cannot deny having sent or done something. There's also non-repudiation of
451920	459600	delivery. Delivery means you as the receiver of a message cannot say that you've received a
459600	466240	different message than the one that you actually did receive. So that's non-repudiation of delivery
466240	472080	and both as you'll see later are achieved through digital signatures because that's how we
472080	478960	achieve non-repudiation. And the last service that cryptography can provide for us is a form of
478960	485200	access control. Now you know what access control means means allowing people to access certain
485200	492480	resources. You're authorizing people to be able to access certain resources. And here's how cryptography
492480	499920	can achieve that. I can encrypt a file or some asset and then give you the key or some people the
499920	506160	key to be able to decrypt it, which means I'm authorizing those individuals to be able to access
506160	512640	that file or that resource. So that's a form of access control. And of course you need to remember
512640	518720	these five services or memorize them because they are the five services that can be achieved
518720	526640	through cryptography and very important in today's environments to achieve all of these or some
526640	533200	level of each of these and cryptography can do a really good job in each one as you'll see as we
533200	541440	go through this presentation. Now there's two ways that people refer to for example data and how
541440	548240	it needs to be protected. Now some people would actually argue that there's a third state that data
548240	554720	can be in. But you've heard of these data at rest means that we are storing something onto some
554720	562800	sort of device or technology. And data in transit also referred to as data in motion means that
