start	end	text
0	20000	So, at the transport layer, we have two major protocols that are part of TCPIP that provide
20000	30000	transport services, but as you know, they are very different in the type of service that they do provide.
31000	37000	There is only one reliable protocol that's part of the entire TCPIP family of protocols, and that is TCP.
37000	45000	And the other protocol that operates here called UDP provides un-missed protocols that are very different in the type of service that they do provide.
45000	54000	There is only one reliable protocol that's part of the entire TCPIP family of protocols, and that is TCP.
55000	64000	And the other protocol that operates here called UDP provides unreliable send and pray that it does what it's supposed to.
64000	74000	But here we're going to focus on TCP, because it is the only protocol that really provides reliability, but that reliability comes at a price, as you'll see.
74000	83000	And whenever you see any book or discussion on TCP, they always talk about something called the TCP 3-way handshake.
83000	103000	And really what that means is that it only takes three easy steps for two hosts to be able to build a road where anything going across that road will be done reliably ordered, but it requires overhead and time to build.
104000	108000	And that's really what the TCP 3-way handshake is all about.
108000	110000	So let's take a look here.
110000	116000	Let's say device A wants to talk to device B, but they need to do it reliably.
116000	125000	TCP is the only protocol that can provide that reliability, but as I said, this will come at a price.
125000	128000	And so let's say device A starts the process.
128000	133000	What happens here is it will send what's called a synchronize request.
133000	137000	That's what SYN stands for, short for synchronize.
137000	148000	It sends a synchronize request, and it comes up with what is supposed to be a very random number called a session ID or synchronization number.
149000	160000	The reason it's supposed to be very random is that if it isn't, and there's a man in the middle that can predict what that session ID number might be, it could lead to session hijacking.
160000	164000	That's one of the problems that are associated with TCP connection.
164000	170000	So we want that number to be very random in how in this case device A comes up with it.
170000	172000	But this is step number one.
172000	177000	Let's say SYNs that synchronize request 1,000 to device B.
177000	180000	Now here's where the reliability comes in.
180000	185000	Anything that is sent and received by a host has to be acknowledged.
185000	192000	In other words, as soon as device B receives that synchronize 1,000, it has to acknowledge that.
192000	200000	And the way that it does it is by sending a AC back, and what it does is it increments one to that number.
200000	207000	And the device B in this case is going to send back a acknowledge 1,001.
207000	226000	But then because these two hosts want to talk in both directions at the same time, host or device B here has to send its own synchronize request at whatever random number it comes up with, which in this case is represented by 2,000.
226000	232000	And because device A has received that synchronize 2,000, it has to acknowledge that 2.
232000	234000	That's basically the third step.
234000	245000	So in this case device A will acknowledge that it has received that synchronize 2,000 by incrementing 1 to it and sending that back to device B.
245000	261000	This in effect is that three-way handshake because in three easy steps, these two hosts have been able to establish a full duplex type of connection, which means now they can talk in both directions at the same time.
261000	271000	But as we've learned, anything that is sent and received by either host will have to be acknowledged and what we do is we increment 1 to the number.
271000	282000	Now the question is, why do we increment 1 to the number? And the answer to that is not for sequencing because only one thing can go at any given point in time.
282000	285000	This is ordered type of transmission.
285000	290000	So we don't use the increment 1 to the number for sequencing.
290000	297000	The reason it's done is to ensure that every host has received everything that it should have.
297000	306000	So for example, if I send you a synchronize 1,000, what I expect back from you is something that says 1,000 and 1.
306000	310000	But let's say I get something back from you that says 1,000 and 3.
310000	312000	What do I know at that point?
312000	317000	I know that I'm missing 2 of your packets. I would request that back.
317000	326000	So the incrementing 1 really provides the reliability so that each host will know that it's received everything that it should have.
326000	334000	Now the rest of this, let's say we've exchanged all the information and every host has received what it should have.
334000	339000	What happens in this case now is what we call a graceful close.
339000	349000	And that is when we've received the last acknowledgement, we send what's called a finish request at whatever number we are at,
349000	353000	which in this case needs to be acknowledged by the host as well.
353000	361000	And then we have to finish in the other direction as well, and we have to acknowledge that as well at whatever number we were at.
361000	364000	And so this is the graceful close that happens.
364000	368000	We tear down the road basically after we don't need it anymore.
