start	end	text
0	29440	IEP sec, one of the most commonly used protocols for VPNs, so John, I've heard about
29440	39360	these security. IEP sec, one of the most commonly used protocols for VPNs, so John, I've heard about
39360	46080	these security associations in IEP sec, what's that all about? Well, first IEP sec, really important
46080	51520	for them to understand, not only because it's a tunneling protocol, it provides security,
51520	57040	it can be used as VPNs, but it's also built into IP version 6, and that's why, you know, there may be
57040	63200	a lot of questions on the exam that reflect on this, but yeah, security associations. That's how we,
63200	68080	because remember, this IP sec is something that operates at the network layer, and in fact,
68080	75440	it is IP that uses it, that's why it's called IP sec, but devices that operate at the network
75440	83200	layer, like routers, will use what are called security associations to connect to other devices
83360	88000	and other things. They're simplex, right, which means they only run in one direction. Correct,
88000	93600	so these security associations are what we call one-way simplex connections, so if you and I want
93600	97920	to talk to each other, how many connections do we need? Well, or a security association. If you want
97920	103760	to be able to talk to me as well, we need one from me to you, one from you to me, that's what simplex
103760	109120	means, it's like radio, right? Radio can only be received by your radio or the signals, it's one
109280	113920	way, that's what simplex means, so yeah, later we're going to talk about why there are four
113920	121360	required, but we need to get you to talk about something else before we get to that, but that's
121360	126560	what a security association is, it's simply a connection between devices and they are one-way
126560	132720	simplex connections, but here's why we need to keep track of these, because as a device that
132720	137680	operates at the network layer, I could be connected to you, but I can also be connected to other
137680	143760	devices at the same time, and so I don't need to keep track of those. Yeah, that's right,
143760	148080	that's why we need to keep track of some of these attributes that you see up on the screen here,
148080	155040	that's what security associations are. Okay, so now IPsec allows you to create a VPN, and obviously
155040	159440	you're supposed to send traffic data back very quickly, so that means you need to encrypt the data
159440	165280	very quickly, so that means we have to use symmetric cryptography, and now we have the problem of
165360	170000	key distribution, so how does IPsec solve that? Our students know exactly that, because we've
170000	175760	talked about that. The only type of cryptography that we can use in order to do things across
175760	181600	networks, because it's the only thing that's fast enough is symmetric, as Rob just said, and that
181600	186880	means we have to have the same key at both ends, and so I think we went through the Diffie Helmand
186880	193280	Key Exchange Protocol. Remember that, that mathematical magic that allows two different locations
193280	199360	to come up with the same secret, which can be used as keys, session keys to encrypt and decrypt,
199360	206000	so you may get a question that says, what's the key management protocol that IPsec uses?
206000	209360	Yeah, because it's not Diffie Helmand, right, so what is it? It's a version of Diffie Helmand,
209360	215360	everything is a version of Diffie Helmand, but in this case it's called IKE Internet Key Exchange,
215360	219920	it's just different math in Diffie Helmand, but it does the same thing. Yes, so remember that,
219920	226160	that's pretty important to understand. Now, next slide talks about the two modes, but these
226160	232640	really refer to the two services that IPsec can provide. Yeah, because it's a complicated protocol,
232640	236720	you've got a ton of options, it's the way you can do, and the first two options you have are
236720	243280	whether you want to run at an age authentication header or ESP encapsulating security payload.
243280	248240	So what's the difference? Authentication header just provides integrity, data origin,
248240	254960	and replay protection. So it's basically just integrity, and not one important thing.
256000	260080	Well, encryption. Encryption. Right. And that's what ESP provides. It's everything that
260080	266240	age provides, plus encryption. Sure. And we said that IPsec really provides two distinct
266240	272400	security capabilities, authentication, and encryption. That's what these two sub protocols really
272400	279520	provide. And yeah, I think you need to tell us what the next two things are here, the two modes.
279520	284480	It gets even more complicated. Yeah, because then you can run it in transport mode or tunnel mode,
284480	288960	and you'll recall John having talked about tunneling, tunneling means that you take a datagram,
288960	293040	and you put it within the datapart of another datagram, which means essentially that you add a new
293040	297920	header. And so that's the difference between these two modes. In transport mode, you don't do any
297920	303040	tunneling. You just reuse the original header. But in tunnel mode, you actually tunnel the
303040	309200	packets. You add a new header. Perfect. And so I think this next slide here, while looking a little
309200	314000	bit complicated, kind of shows how this all fits together. So we can first of all run in authentication
314000	319600	header mode, and then you can run authentication header mode in either transport mode or tunnel mode.
319600	323760	So when you're running in transport mode, you're just reusing your original header. You're adding
323760	328320	the authentication header. That's the AHP's, and you've got your data. And then in tunnel mode,
328320	334480	you're adding that new header. And then when you go into ESP, looks exactly the same, except the
334480	339920	big difference here is that you are encrypting the actual data. And so it's only running in ESP
339920	346400	mode. It's a VPN, right? Correct. Well, because a VPN by definition is tunneling plus encryption.
346400	352080	That was for you. It was a reminder. Yep. And so let's give people a good way to remember this,
352080	355760	because there's really four different ways that you can use this, correct? And so,
357360	362880	is there an easy way for them to understand this? Like authentication header transport mode means
362880	367680	this, correct? I don't remember the diagram, I guess? Yeah. Memorize the diagram. They may
367680	374160	ask you about any of these four different ways that really relate to authentication header and ESP,
374160	379760	whether in transport mode or in tunnel mode. And to bring it back to security associations,
379760	384960	this is why you need up to four of them. Because if you want both a connection and you want to
385520	391040	encrypt that connection, then you need two simplex connections in each direction.
391600	396720	Right. So if you remember that simplex, they're simplex connections. So if Rob and I want to talk
396720	401920	to each other in both directions, we need two security associations. But if we want both
401920	408080	authentication and encryption in both directions, you cannot host those two things across one security
408080	413600	association. You need one for each, meaning we need two in both directions, which would equal four.
413600	424320	Yeah. There you go. Bye, peace out.
