start	end	text
0	17000	We've talked about how we can identify ourselves to a system.
17000	20000	We've talked about how we authenticate ourselves to a system.
30000	37000	We've talked about how we can identify ourselves to a system.
37000	40000	We've talked about how we authenticate ourselves to a system
40000	44000	through authentication by knowledge, ownership, or characteristic.
44000	47000	Now, let's talk about how we authorize.
47000	50000	How the system determines what our access will be.
50000	55000	There's three major philosophies for authorization.
55000	59000	The first is known as discretionary access control.
59000	61000	And listen very carefully to this definition.
61000	66000	Discretionary access control means that the owner decides
66000	69000	who's going to get access to the system.
69000	74000	Now, is that a good security practice for the owner decides who should get access?
74000	76000	Absolutely.
76000	78000	Is that commonly what's done?
78000	80000	Unfortunately not.
80000	83000	It's very common that it's not the owner that decides who gets access.
83000	88000	Instead, it's someone an IT or some other system administrator like that.
88000	90000	And they're not the owner of the system.
90000	95000	So the perfect definition of discretionary access means the owner decides.
95000	99000	And there's three types of discretionary access that you need to know about.
99000	104000	There is rule-based, role-based, and attribute-based.
104000	107000	And we'll talk through each of those in more detail in a moment.
107000	112000	The next access control philosophy is non-disgressionary.
112000	117000	So if discretionary means the owner decides what does non-disgressionary mean?
117000	121000	Well, it means someone other than the owner decides.
121000	125000	And as I mentioned, that's very common in the world today in a lot of organizations,
125000	127000	but not a good practice.
127000	131000	The final philosophy is what's known as mandatory access control.
131000	135000	And this is where the system decides.
135000	137000	This is very rarely seen.
137000	141000	And we'll talk about it in a few minutes here, but it's very rare to see mandatory access control.
141000	147000	The two that you'll see the most out in the real world are discretionary and non-disgressionary.
147000	149000	So let's dig into each of these.
149000	154000	Now, relating this back to the reference monitor concepts and security kernels,
154000	161000	what these authorization steps are all about is determining the rules that get fed into our mediation.
161000	168000	And as we talked about in discretionary access, it's the owner that determines these rules.
168000	173000	Now, role-based access is where we have this concept of defining roles
173000	178000	and then assigning users to those roles, which defines what access they get.
178000	186000	And role-based access can be an awesome idea in situations where you've got a ton of users that all share the same role.
186000	187000	Think call centers.
187000	189000	You might have 500 people in a call center.
189000	191000	They all need the same system access.
191000	196000	So you define one role, assign all 500 employees to that one role.
196000	201000	And then if you need to make changes to their access, you only have to update one role.
201000	203000	Makes this very easy.
203000	210000	Now, in my experience, it's often challenging to implement role-based access across the entire organization.
210000	217000	I've been involved in a number of these implementations, and it's not uncommon to end up with more roles than you have employees,
217000	220000	which kind of negates making this whole process more efficient.
220000	225000	The other challenge a lot of organizations have is that many systems don't support role-based access, older legacy systems.
226000	228000	So role-based access create idea.
228000	230000	Not always easy to accomplish.
230000	235000	Rule-based access is where a simple set of rules.
235000	238000	Often, these are known as accles, access control lists.
238000	243000	It's simply a file that says this user has access to this resource or this asset.
243000	246000	So rule-based access is simply a set of rules.
246000	249000	And those rules are going to be unique to each user.
249000	256000	And so if you need to update 10 users access, you'd have to go and update their 10 unique rule sets.
256000	261000	Let's talk about an emerging form of access.
261000	263000	And it's known as attribute-based access.
263000	267000	And to give a bit of context as to why this is really useful and important nowadays,
267000	271000	let's talk about where the industry is trending as it comes to access to systems,
271000	275000	and what type of systems are being created, and where those systems are hosted.
275000	281000	So nowadays, it's very common for most applications to be web-based applications.
281000	285000	And for a lot of those applications to be hosted in the cloud,
285000	287000	which we call software as a service.
287000	292000	Now, if you have an application hosted in the cloud as software as a service,
292000	296000	all of the defense and depth controls that you would have used to have had
296000	299000	when that application was deep within your corporate resources,
299000	302000	or deep within your corporate network, they're gone.
302000	307000	You know, it used to be very common that applications were hosted inside a company's own IT infrastructure.
307000	311000	And there was multiple layers of defense, firewalls, and all sorts of other controls
311000	316000	that would prevent unauthorized users from getting near that secure internal system.
316000	321000	But when we host the system in the cloud, who can access this system?
321000	323000	Potentially anyone on the internet.
323000	328000	And this is where the idea of attribute-based access becomes much more important.
329000	332000	Because the idea here is when we put a system out on the internet,
332000	334000	all those defense and depth controls are now gone.
334000	336000	We don't have those controls in place.
336000	340000	And so the access controls, the controls that we use to control access to the application,
340000	343000	become much, much more important.
343000	346000	And attribute-based access really takes that into account.
346000	351000	Because the idea behind attribute-based access is rather than just looking at a simple user name and password
351000	354000	to grant someone access, and authorize what they're allowed to access,
355000	360000	instead you look at a bunch of attributes such as you could look at the user
360000	364000	and specifically what's their identity, what department do they work in,
364000	366000	what date and time are they logging in from.
366000	370000	You could look at what environment they're logging in from.
