start	end	text
0	29560	Okay, so as you know we are going up the OSI model layers and we are at Layer 2, the
29560	37880	data link. Okay, so as you know we are going up the OSI model layers and we
37880	43600	are at Layer 2, the data link layer, and there are some significant protocols that
43600	48680	operate at Layer 2 that we can think of from a security perspective. Now if you
48680	54000	remember back in the old days when the only way to get into a network
54000	60240	remotely was to use dial up lines and modems, the industry had a problem. The
60240	66200	problem was how do we allow TCP IP to run across dial up lines? So the industry
66200	72600	had to come up with a protocol that would allow TCP IP and its protocols to
72600	78560	run across dial up line. As you know dial up lines are analog connections and
78560	83040	so they had to create a protocol that would allow that and what they came up
83040	88720	with is something called slip. Serial line interface protocol is what that
88720	94920	stands for. Now eventually when remote access became really popular they
94920	100480	decided to replace this protocol with something better because as companies
100480	106080	started to offer remote access to everyone and it became a necessity for all
106080	113040	organizations. They decided to replace that older slip protocol with something
113040	118280	that is much better and what they called it is what you see here PPP point to
118280	124240	point protocol. Now by the time they did this they realized that a lot of companies
124240	130080	were offering remote access and what they should do with this protocol because it
130080	135680	was going to be used for remote access is build some authentication protocols
135680	141360	right into this PPP protocol because they realized that this would be used by
141360	148760	people that would be connecting in remotely by using for example VPNs and so they
148760	155080	decided to build three authentication protocols as part of the PPP
155080	160520	authentication protocol itself or remote access protocol itself and they gave
160520	165640	us three instead of one and the reason that there are three is because they all
165640	170480	provide different levels of security as you'll see and this is something that's
170480	175760	important for you to focus on. The first one the first authentication protocol
175760	182920	that they built natively into PPP is called PAP password authentication protocol.
182920	189280	This one is the simplest but it's also the least secure. In fact what this
189280	196920	uses is a plain text reusable static password in order to authenticate the
196920	201520	individual at the other end that's trying to connect remotely. Now if you think
201520	207560	about those three words that I just use plain text reusable static those are not
207560	213600	good security words but that's all that PAP supports and so what it does is it
213600	219040	sends your password across the line in plain text so if there's anybody in
219040	224120	between like there is likely to be they can see your password and here's the
224120	228920	real problem we can never change that password you cannot force a password
228920	234560	change so PAP is not very good and you wonder why did we even have it but it is
234560	240400	supported by a lot of simple network devices and in fact in the early days of
240400	244800	remote access this was really the only option for people and companies to
244800	251000	offer remote access and it's still widely used by many applications. What's better
251000	257040	is the second one it's called CHAP challenge handshake authentication protocol.
257040	263080	What this one does is it addresses some of the problems that EAP does or has and
263080	268840	so when we send the password across the line using CHAP it is encrypted and
268840	275880	you can force people to change passwords every 30 days or every 60 days or
275880	280680	whatever it is that the company decides on and so it's a much more secure
280680	286080	protocol in fact it is very popular out there even today for organizations that
286080	291760	offer remote access through VPNs because ultimately this person sitting
291760	296880	behind that VPN needs to be authenticated and a lot of companies have
296880	302360	standardized on the CHAP protocol as part of for example their radius and
302360	308040	tax and diameter administration systems that companies will implement in
308040	313080	order to host remote access but CHAP much better and in fact it also supports
313080	318760	two factor authentication which has become pre-standard for organizations to
318760	324520	use in order to allow remote access. The best one is actually the third one and
324520	331600	it's called EAP and the reason it's the best is because of the E the E stands for
331600	339760	extensible and so it can be adaptable it can be changed so almost address
339760	344880	anything that an organization might want from a remote access perspective so
344880	350040	that the way that they built EAP is that it's very flexible you can use it in
350040	356160	conjunction with almost anything else and so you see it a lot today in any
356160	362280	service that requires remote access in fact the next slide here gives us an
362280	369480	idea of EAP and how good it is there is one version of it that you would be wise
369480	377680	to understand as we have seen it appear on the exam and that is P EAP and the
377680	384600	P is actually for protected EAP and so what they do with this one is they
384600	392480	protect the EAP traffic across a SSL and TLS tunnel in other words the EAP
392480	397240	traffic that contains your authentication information is actually protected by
397240	402720	using the SSL slash TLS protocol which provides authentication and
402720	407800	encryption and possibly some other things so remember P EAP which stands for
407800	415920	protected EAP simply tunnels the EAP traffic across a SSL slash TLS tunnel but
415920	423200	here's why EAP is so extensible there are many versions of it that the
423200	427960	industry has come up with to really suit any remote access capability that any
427960	436640	organization or service might require so we've got EAP TLS we've got EAP T TLS
436640	443240	and we've got EAP P EAP which we just talked about we've got lightweight EAP as
443240	449680	well and they all provide as you can see here different levels of allowing
449680	455840	remote entities to authenticate through the EAP protocol but do it in such a
455840	461640	way so that it becomes very efficient for the organization that's hosting the
461640	467380	remote access requirements there's even a EAP MD5 which really addresses the
467380	473320	integrity of that traffic as it goes through for example the EAP authentication
473320	479080	information even though we've provided a really good slide here probably the
479080	484640	one that is the most important for you to remember is P EAP that we've talked
484640	491080	about just before now we're still at layer 2 and what we need to understand at
491080	497440	layer 2 are some of the significant devices and protocols that operate at
497440	502800	layer 2 of the OSI model and as far as devices are concerned really two of
502920	508840	them that are significant bridges and switches both operate at layer 2 and
508840	514440	therefore because they operate at layer 2 they are still very efficient but
514440	519160	they are really dumb devices in other words we can't really ask any of these
519160	523880	devices to make any security decisions they just don't have the intelligence to
523880	529040	be able to do that but both bridges and switches are layer 2 devices now don't
529040	534360	overthink these questions because as you know today companies can buy layer
534360	539880	3 switches they can buy layer 4 switches you can even buy layer 7 switches but
539880	545800	unless the exam specifically mentions those words you need to remember that a
545800	551920	switch natively operates at layer 2 and they are both bridges and switches
551920	557160	dumb devices in fact that's why we call them bridges they simply bridge two
557160	562280	things together and that bridge does not care what's going across it it has
562280	567960	no ability to interpret it so these are very fast devices but we cannot use
567960	572800	them to make any sort of security decisions switches have a little more
572800	577440	functionality than bridges do because of the ports that are available at the
577440	582560	back of a switch and so if you connect devices to the ports that are at the
582560	586880	back of the switch it starts giving us the ability to start creating what
586880	592160	are called segments or virtual lands as we will discuss later when we get into
592160	599800	the partitioning and segmentation aspect of network security now these are
599800	606640	some of the other layer 2 protocols that are noteworthy at layer 2 and you'll
606640	612320	know that some of these are layer 2 for sure because they are called L2 L2
612320	619800	TP obviously the L2 stands for layer 2 but PPTP also a layer 2 tunneling
619800	626280	protocol we just described what slip was that older protocol that was used for
626280	631640	remote access that was eventually replaced by the PPP protocol that contains
631640	638440	those authentication protocols that we just talked about PAP, CHAP and EAP also
638440	645080	at this layer is what we call ARP and reverse ARP and those are some significant
645080	652040	protocols that operate at layer 2 what ARP does is it maps IP addresses which
652040	658240	is the logical addressing that's used across networking to specific MAC
658240	664360	addresses which is what makes you unique on any network and so as something
664360	669960	comes in as an IP address the network has to take that and map it to the
669960	675880	correct MAC address and that's what ARP does now when we originate a outgoing
675880	680680	request from the internal network it obviously originates from your MAC
680680	685760	address but that has to be converted to the correct IP address which is what
685760	691720	reverse ARP does but both ARP and reverse ARP are layer 2 protocols that work
691720	701920	basically together now L2F PPTP L2TP or what we call tunneling protocols tunneling
701920	707440	protocols simply take something and encapsulate them within something else and
707440	713640	we'll learn later that this is the precursor for how we create and use VPNs
713640	719400	because VPNs require tunneling first and then encryption so these protocols
719400	726320	that you see here L2F PPTP L2TP are layer 2 tunneling protocols and
726320	731520	because they operate at layer 2 they are still very efficient but they may
731520	737160	lack in functionality as you know the lower down the layers we go the less we
737160	742280	can do but the more efficient we become the higher up you go the more we can
742280	747160	do the more functional we become but the less efficient we become so these are
747160	752120	very efficient tunneling protocols that operate at layer 2 but may be limited
752120	756360	in some of the functionality that they can offer
