start	end	text
0	18040	In this module we're going to talk about something called convergence and a lot of people
18040	37840	refer to this as IP. In this module we're going to talk about something called convergence and a lot of
37840	45280	people refer to this as IP convergence and some people get confused as to what it means but
45280	53280	basically IP convergence is the ability of our data networks that we've had for a very long time to
53280	59120	carry not only data but a whole bunch of other things that have become really important for companies to
59120	66920	address across their networks today. So for example IP telephony or voice over IP the ability of the
66920	74560	network to not only carry data but also multimedia audio video and possibly some other things as well
74560	81680	is what we call convergence. When you think about what networks were built to do was only carry data but
81680	87720	today they've got to do much more and that's what we call convergence. Convergence is simply the
87720	96360	ability of your standard TCP IP network to carry data and a whole bunch more and these are some
96360	105000	examples. We've got fiber channel over ethernet we've got ice-cazy capabilities for doing things related to
105000	116160	storage and backing up and restoring and probably the most obvious example of converged protocols which
116160	124040	means the ability of the data network to carry also voice which a lot of people refer to as voice over
124040	131640	IP but more appropriately should be called IP telephony. And so when you look at the traditional way that
131640	140840	companies had to connect themselves to the voice network in the past for voice capabilities we had to
140840	146600	basically connect ourselves to two distinct networks companies would have had to connect themselves to the
146600	153040	voice network for voice requirements and then we built data networks to handle our data requirements.
153040	161560	What we can do today is we can actually carry voice over our data network and that's one example of
161560	169280	IP convergence because now we have technologies that can allow us to take your voice, digitize it,
169280	176080	packetize it and then carry it across the data network so that you and I can carry on a
176080	185200	conversation really across a data data network and that's what we call IP telephony or some people call
185200	193960	voice over IP but when you look at the way that fundamentally our data networks are done and built the way
193960	201800	that we carry information across networks is by taking your information breaking it up into packets and
201920	209560	then sending those packets across a network those packets may travel in different directions they may arrive in a
209560	217480	different order than they were sent so fundamentally it wouldn't be easy to allow you and I to be able to carry on a
217480	226120	conversation if that's the way that our voice communications was sent across a data network so that's what voice over
226120	237880	IP or IP telephony protocols have given us the ability to do. We can take our voice, digitize it, packetize it and send it across the
237880	246200	network as packets but address some of the issues that would result if those packets for example traveled in different
246200	253840	directions so these are some of the most popular protocols that the industry has developed to allow us to
253840	262880	carry voice across data networks and not have some of the problems that would be associated with that so SRTP is one that
262880	272200	actually adds some security into voice communications because if you think about how we can carry voice over data that would
272200	280480	mean that we inherit the insecurities that typically data networks have I mean if you look at a data network
280480	289600	fundamentally it does not address confidentiality or integrity or availability and so if you want security of your voice
289600	298880	transmissions natively it's not there if you're just doing IP telephony or voice over IP without using specific
298880	307440	protocols like this one SRTP does add the ability to have secure transmission of voice
307440	318880	communications by using things like authentication and encryption as part of how you and I ultimately communicate across that IP telephony network another
318880	329200	popular one is SIP the unfortunate part about IP telephony protocols is that there really isn't many standards in the industry
329200	340000	usually the vendors will standardize on their own protocols and then if you go with the specific vendor you're typically limited to the security
340000	347680	capabilities that that vendor will give you which might not be enough to address your requirements for authentication
347680	355200	encryption and some other things that might be very important in your voice communications across your entire data
355200	367200	network especially if you're going across different countries or around the globe and using voice over IP or IP telephony but now if you're using IP telephony
367200	376000	protocols which means you can carry voice over data it's very important to address some of the security concerns that that really
376000	388560	allows for example if you want confidentiality of those voice transmissions natively it's not there and so if you want to achieve confidentiality we need to encrypt
388560	398000	but the problem with cryptography and encryption is that it adds what we call latency latency means it takes time to encrypt
398000	406960	and it takes time to decrypt at both ends so if you want confidentiality and you encrypt the transmissions it may result
406960	415600	in a little bit of a delay in how you and I are communicating by using voice communications which might make it very frustrating
415600	423360	you've all experienced this where if you call someone up with your mobile phone and there's a bit of a delay in that transmission
423360	430560	it's very difficult to communicate and that would be the case every single time that we would use encryption
430560	438320	in voice over IP transmissions integrity is hard to achieve as well one of the easiest things that you can do
438320	446160	across a IP telephony environment is to pretend to be someone else or pretend to be from a number that someone else
446160	455120	represents and so these are easy things you just need software to be able to achieve some exploits and vulnerabilities
455120	463120	across your IP telephony environments and it's a reason why we see a lot of wishing type of attacks today
463120	470720	and you may know what this is but it's a form of fishing that specifically happens across your voice over IP
470720	479280	environments because it's very easy for the attackers to spoof no numbers or numbers that may look familiar to you
479280	485200	and that's how they get you to provide information that you shouldn't that's what we call wishing attacks
485200	494560	just a other flavor of fishing that uses voice over IP capabilities that every company has because they've
494560	499520	implemented IP telephony solutions
