start	end	text
0	19780	All right, we've defined what cryptography actually means, and as we said before, it means
19780	47540	secret writing, any method that takes something and turns it into a secret is a form of cryptography.
47540	57540	There are some definitions and terms that we need to be familiar with, not only because they're used in the cryptography industry, but they may appear on the exam as well.
57540	59540	So why don't we start looking at some of those?
59540	69540	And what you see for example here is the definition of cryptography itself. Any method that turns something into a secret is what we call cryptography.
69540	81540	And here's an example of how cryptography systems actually work. We take what's called plain text, and we turn that into a secret, which is typically referred to as ciphertext.
81540	98540	That's what we refer to as ciphertext. Now what does allow us, you and I, for example, to communicate with each other using cryptography so that we can encrypt and decrypt at both ends, is what we call the crypto system.
98540	114540	The crypto system are the compatible set of applications that you and I would have at both ends to be able to communicate effectively using cryptography and achieve, as you know, the five services that cryptography can provide for us.
114540	131540	Confidentiality, integrity, authenticity, non-repudiation, and access control. If you and I need any level of any of those, what we really need to do at both ends is install and use compatible cryptosystems.
131540	140540	Just think of the cryptosystems as being the set of applications that are compatible that allows you and I to communicate using cryptography.
140540	159540	Perfect example of a cryptosystem that most people are aware of is PGP. I know you know what that stands for, pretty good privacy, but what it is, it's a set of applications that if you and I install at both ends, we can communicate.
159540	180540	Now that cryptosystem will have support for things like algorithms and it will allow me, for example, as the sender to be able to encrypt data and then send it to you and you'll be able to decrypt that data at your end as long as you've got compatible cryptosystem that basically does the same thing.
180540	193540	Now what we have to understand here is the definition of something called the algorithm. The algorithm, if you look that up in a dictionary, is going to say the set of mathematical instructions that we have to follow.
193540	208540	It's the steps that we have to go through in order, for example, for me to encrypt something at my end, but then at your end you can use the algorithm in backwards order those steps to be able to decrypt.
208540	224540	Now what all algorithms do is basically fundamental to cryptography and let's use an example here. Let's come up with a word like the word exam, which you're going to pass very easily.
224540	233540	But let's say we have this word that we want to turn into a secret, which is what cryptography does for us by definition.
233540	243540	Now if you look at the letters that spells out this word, what can we do to these letters to take this and turn it into a secret?
243540	250540	Well what might be obvious, first of all, is to take each of the letters and substitute them for other letters.
250540	263540	So let's say the E can be represented by a T. The X could be represented by an L. The A could be represented by an X and the M could be represented by a Z.
