start	end	text
0	19760	Continuing our discussion of all the different components, concepts, constructs and models
19760	34400	that we have.
34400	39920	Continuing our discussion of all the different components, concepts, constructs and models that
39920	45480	we have within computer systems, let's now talk about the concept of the ring protection
45480	46800	model.
46800	48720	So here's the idea behind this.
48720	53760	Within any modern computing system, we have all sorts of different layers of software.
53760	56760	At the heart of the system, we have the system kernel.
56760	59080	This is the core of the operating system.
59080	63600	That system kernel kernel is going to connect to different drivers and libraries to create
63600	65080	the operating system.
65080	67720	And on top of that, you're going to be running programs.
67720	72320	And the idea behind the ring protection model is to assign these different essentially
72320	78080	layers, these rings of hardware, different levels of trust.
78080	83080	And the idea being the more valuable, the more trust that's required for one of the rings,
83080	86080	the more controls, protection mechanisms you're going to want to have.
86080	90840	And as you radiate outwards to less and less trusted, less and less value pieces of the
90840	93600	system, you're going to have less controls in place.
93600	96160	That's the idea behind the ring protection model.
96160	102400	Now ring zero, the center, is always known as where the system kernel runs.
102400	106920	So you will call the system kernel as the core, the heart of an operating system.
106920	109680	And this is the most important piece of software on a system.
109680	112080	It's what controls access to everything.
112080	115920	It's what controls everything, essentially, it's the most important part.
115920	117520	So it runs at ring zero.
117520	121400	And this is obviously where we're going to have the greatest level of trust, the most
121400	126400	controls in place to protect this very valuable and important system kernel.
126400	130680	Now the next two rings, ring one and ring two, don't worry about what they cover, what
130680	131680	they do.
131680	135240	The reason I'm telling you that is that in the industry, if you look at Windows Unix,
135240	140400	Linux, Mac, there's no consistency on what these two rings are used for.
140400	142040	So you won't get questions on the exam.
142040	146240	You might be asked what's at ring zero to which you will answer the system kernel.
146240	150320	And you might get questions about ring three, because ring three is always where your
150320	152800	user programs run.
152800	154400	So this is the idea of the ring protection model.
154400	158600	You rate eight outwards at the center, ring zero is where you have the most trust.
158600	165320	And you rate eight outwards to layer three, ring three where you have the least trust.
165320	169880	Next, let's talk about the concept of secure memory management.
169880	174560	And this is the idea that in a system, we'll have multiple programs running.
174560	179640	And each of those programs will have some data loaded into volatile memory, RAM, random
179640	181600	access memory.
181600	185960	And the idea behind secure memory management is that we want to make sure that if, if
185960	191280	process A is accessing data in RAM, what data should be allowed to access?
191280	192280	Only its own data.
192280	194160	That's the idea of secure memory management.
194160	197760	You allocate parts of memory to different processes.
197760	202000	And then you have a component in place system that's controlling and making sure that only
202000	206240	process A can access process A's data in memory.
206240	211240	What do you think we would fundamentally call that system that's mediating that access?
211240	213040	That would be a security kernel.
213040	217840	So secure memory management is about essentially implementing a security kernel that controls
217840	220800	which processes can access, which data in RAM.
220800	225760	And as you can see here in the diagram, process A can only access process A's data and not
225760	230600	data from the operating system or other processes.
230600	233040	Next we have the concept of data hiding.
233040	239360	And this is the idea that we can have data at different levels of confidentiality or value.
239360	244280	And the idea behind data hiding is that if you are at a lower level of confidentiality,
244280	246840	then you cannot see data at higher levels.
246840	249280	That data is hidden from you.
249280	254680	And so data hiding is basically just an implementation of which model that John talked about.
254680	259680	Which model had to do with confidential data at different layers?
260680	264200	And so Bella Padula is essentially what data hiding is all about.
264200	270520	If you're down at a lower level of secrecy, you can't see data at higher levels of secrecy.
270520	275080	The last piece we'll talk about in this section is what is known as code signing and validation.
275080	279120	And this actually relies on a lot of cryptographic technologies and techniques that we haven't
279120	282200	talked about yet like hashing and digital signatures and so forth.
282200	285640	So don't worry about the technical pieces of how this actually works.
285640	288640	Just understand what we use code signing and validation for.
288640	292800	And later on, we'll explain how this actually gets done.
292800	295200	So here's what you use code signing and validation for.
295200	299080	And let me use a modern phone, something like an iPhone as an example.
299080	301320	So we've all got phones, something like this.
301320	305520	And you probably notice that every so often you get a little nudge from Apple saying,
305520	307000	hey, you need to update your device.
307000	312240	Hey, hey, and what you're going to go and do is you're going to go into system settings
312240	314920	and you're going to say, update my device.
314920	317560	And when you've done this, you probably notice that when you say, you know,
317560	320520	you finally go through all the, you know, all the click wrap agreements and accept all
320520	323720	the terms and conditions and everything and you finally say, yeah, install the update.
323720	328320	It doesn't just install instantly for the first little while it says downloading.
328320	332440	But then when it's done downloading, it doesn't again just install instantly instead.
332440	333440	What does it say?
333440	336280	So if it took like 10 minutes to download, then usually for like the next 10 minutes,
336280	337760	what does it say?
337760	338760	Verifying.
338760	343640	Now, there's something really cool happening behind the scenes when it says verifying.
343640	346920	What your phone is actually doing is it's making sure that that software update that it
346920	352520	just downloaded actually came from Apple because if you're downloading an update to your
352520	355440	phone that's going to make a whole bunch of changes to your operating system, you want
355440	358000	to make darn sure that actually came from a trusted source.
358000	361560	And so if it's an Apple phone, you want to make sure it came from Apple.
361560	365560	So the first thing that code signing validation is all about is the authenticity.
365560	368800	You know who the update came from.
368800	371560	And the next piece is integrity.
371560	376440	If you've downloaded all this code from Apple, you want to make sure that none of the instructions
376440	379080	have gotten scrambled, none of the pieces are missing.
379080	384800	You want to make sure that that whole software update is complete, has integrity.
384800	389840	And so that's the two major pieces of functionality that code signing provides.
389840	393360	It allows you to know where a software update came from.
393360	398480	And make sure that that software update has integrity, so authenticity and integrity.
398480	402400	And the way that we achieve this is by creating what are known as digital signatures.
402400	405320	And here's the stuff that we'll talk about in a lot more detail in the cryptographic
405320	406720	section, section.
406720	412880	But you take your code, you hash that code, producing a fixed linked message digest, the
412880	418000	author of the software, then encrypts that digest with their private key, creating what
418000	420640	is known as a digital signature.
420640	423840	That's how you sign code, you create a digital signature.
423840	426640	So that's the idea behind code signing.
